questionUid,sourceJsPath,questionId,standardUnitKey,questionType,primaryStatus,answer,correctAnswerCount,noAnswerFlag,undeclaredMultiAnswerFlag,questionSolutionMismatchFlag,sourceReviewFlag,notes
qid_v1_479164359ea2376fc6b0dfbf3ac5144e3e44d97c7467956d944608b51a6d53c6,archive/exams/original/high/h1/2final/24_제일고_2학기_기말_고1_기출.js,4,H15-SB-02,객관식,VALID,②,1,false,false,false,false,no residual structural triage flags
qid_v1_657595d885e10559eec92770568515592ccdb199e5f9a93d16ed42ec29b4ca53,archive/exams/original/high/h1/2final/24_제일고_2학기_기말_고1_기출.js,6,H15-SB-02,객관식,VALID,③,1,false,false,false,false,no residual structural triage flags
qid_v1_afc585e28bf39e3634dc361354e37e52571f8bbb49040a654f0c05245661014b,archive/exams/original/high/h1/2final/24_제일고_2학기_기말_고1_기출.js,9,H15-SB-02,객관식,VALID,③,1,false,false,false,false,no residual structural triage flags
qid_v1_e94d6ec39e6960d43b4cba6f78f6402117b02363b3bf6d5e8908e122f8ab35d9,archive/exams/original/high/h1/2final/24_제일고_2학기_기말_고1_기출.js,19,H15-SB-02,서술형,VALID,"최댓값 $5$는 $(x,y)=(1,2)$일 때, 최솟값 $-5$는 $(x,y)=(-1,-2)$일 때",1,false,false,false,false,no residual structural triage flags
qid_v1_190864aeeca5dd20a1342e18a7f290be98cf39c92dc896377a6f790b5a1dc339,archive/exams/original/high/h1/2final/24_제일고_2학기_기말_고1_기출.js,20,H15-SB-02,서술형,VALID,참,1,false,false,false,false,no residual structural triage flags
qid_v1_ca1468d1a12db65e0f2f3257fcd4e5d620e8d8870011842a18af6e60f6010dea,archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js,4,H22-C2-06,객관식,VALID,③,1,false,false,false,false,no residual structural triage flags
qid_v1_3b34ff6b395c51ac06478e7fea561c69e1ce8c2266e8c418ff231455d29b1143,archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js,5,H22-C2-06,객관식,VALID,②,1,false,false,false,false,no residual structural triage flags
qid_v1_c30bced2cdd43248c9cec549331c0558705a257bee894bac4c9e2a28e6e4afb5,archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js,12,H22-C2-06,객관식,VALID,③,1,false,false,false,false,no residual structural triage flags
qid_v1_6ef888ff6f76fa9fd9e25ab385481ab6d8ddb17f30e1227a954a2af7298f8fed,archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js,13,H22-C2-06,객관식,VALID,②,1,false,false,false,false,no residual structural triage flags
qid_v1_f753fe1268fad99110f180a9fa81de60bfc1af309f49ba530035a85a681da76c,archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js,1,H22-C2-06,객관식,VALID,④,1,false,false,false,false,no residual structural triage flags
qid_v1_8bb1e2836e3088f74476754a6869d175146d90d874e912397fa53ec205e879ff,archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js,2,H22-C2-06,객관식,VALID,①,1,false,false,false,false,no residual structural triage flags
qid_v1_1cf51fc06a926bb10c83c567af4559fc00e46f4f3352ec8246a997db9d7f261b,archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js,5,H22-C2-06,객관식,VALID,⑤,1,false,false,false,false,no residual structural triage flags
qid_v1_f1a98276b1bb5e0bdb3ed134dc92235fb8b5156ecbd208b6a364534da6d7af39,archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js,6,H22-C2-06,객관식,VALID,②,1,false,false,false,false,no residual structural triage flags
qid_v1_439174128b8392f7c1398989d4ceef80085344884a6e426491a77ff76d434a79,archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js,11,H22-C2-06,객관식,VALID,③,1,false,false,false,false,no residual structural triage flags
qid_v1_0879e2c326564d076dffd1818f152847649d81ef73e2fc24b3d3578b7ac3298d,archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js,16,H22-C2-06,객관식,VALID,④,1,false,false,false,false,no residual structural triage flags
qid_v1_dcb88df5c5637f4fe29502fe3601b66a64475cc28ed277b98fafb8d74943c878,archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js,20,H22-C2-06,단답형,VALID,$15$,1,false,false,false,false,no residual structural triage flags
qid_v1_b3c13a9d1ee5ba7fc5d6d61320387ab5d1062eb84a1d43e04a41c94856e23a32,archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js,1,H22-C2-06,객관식,VALID,⑤,1,false,false,false,false,no residual structural triage flags
qid_v1_99c21975638c202e7427a20b95557efdd29be831fa8cc30fcc0ee066cf038513,archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js,4,H22-C2-06,객관식,VALID,①,1,false,false,false,false,no residual structural triage flags
qid_v1_4f7f7736f58db060810f87511af1118a8fb781282ae1f0cd497e47ddefd54a30,archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js,5,H22-C2-06,객관식,VALID,⑤,1,false,false,false,false,no residual structural triage flags
qid_v1_cc7005ff1c74273573c3c79993e6ab94ae7cef23e47291e546563acf344cb2a2,archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js,8,H22-C2-06,객관식,VALID,④,1,false,false,false,false,no residual structural triage flags
qid_v1_9f30615d65bdf06c4126f43f0d3f691f9d53622f18f4dbcf2ee01feb3fed7953,archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js,19,H22-C2-06,서술형,VALID,$4$,1,false,false,false,false,no residual structural triage flags
qid_v1_07c5348413bc3219960f00ffb307c01eefcfa6704b78c80b2287ead8b53b845b,archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js,22,H22-C2-06,서술형,VALID,"$a,b,c$ 중 적어도 하나는 짝수이다.",1,false,false,false,false,no residual structural triage flags
qid_v1_1f7b74b8ce522acdcdbc445734375ae07c851c5ba8a9e913e25f2562f2ba7894,archive/exams/original/high/h1/2final/25_팔마고_2학기_기말_고1_기출.js,12,H22-C2-06,객관식,VALID,③,1,false,false,false,false,no residual structural triage flags
qid_v1_ec2fc803a2c67c50ee00c255ddd413f4eecc7e2550b11cbd8e439142acba91d6,archive/exams/original/high/h1/2final/25_팔마고_2학기_기말_고1_기출.js,13,H22-C2-06,객관식,VALID,⑤,1,false,false,false,false,no residual structural triage flags
qid_v1_c9698b4af6e1455f45c7f30258c94f7b176ab7abb09ede7ce3dd187f35ac36b2,archive/exams/original/high/h1/2final/25_효천고_2학기_기말_고1_기출.js,1,H22-C2-06,객관식,VALID,②,1,false,false,false,false,no residual structural triage flags
qid_v1_5b4c80a83ad83ce2d874cb810859a01142f6795886f3103a7a76e93e847afc7d,archive/exams/original/high/h1/2final/25_효천고_2학기_기말_고1_기출.js,6,H22-C2-06,객관식,VALID,③,1,false,false,false,false,no residual structural triage flags
qid_v1_269585ccc51fc515c013b870fa576bd923fdb5b33fbb6b846057c112cfe035db,archive/exams/original/high/h1/2final/25_효천고_2학기_기말_고1_기출.js,7,H22-C2-06,객관식,VALID,③,1,false,false,false,false,no residual structural triage flags
qid_v1_d83a696ac6a5d52d69395290fe96d3414c14596211f1d89663169b2435a5bf07,archive/exams/original/high/h1/2final/25_효천고_2학기_기말_고1_기출.js,14,H22-C2-06,객관식,VALID,②,1,false,false,false,false,no residual structural triage flags
qid_v1_6ba7324130c1346b29873047bb9a28f82fa6a6b06203ae6369c8bd11eb57d087,archive/exams/original/high/h1/2final/25_효천고_2학기_기말_고1_기출.js,21,H22-C2-06,서술형,VALID,$7$,1,false,false,false,false,no residual structural triage flags
qid_v1_5caa6ac00dbd1ad2586f3752567443164e86ae50a51dfa1624049631f1e75c06,archive/exams/original/high/h1/2mid/21_강남여고_2학기_중간_고1_기출.js,6,H15-SB-02,객관식,VALID,①,1,false,false,false,false,no residual structural triage flags
qid_v1_4f2366ab5f0907b2d57656c1f6d6f8e281a46616b350d18c15bf273b544aefe1,archive/exams/original/high/h1/2mid/21_강남여고_2학기_중간_고1_기출.js,7,H15-SB-02,객관식,VALID,④,1,false,false,false,false,no residual structural triage flags
qid_v1_4c861a9f3e80d08b0d97538d91561afec20c5d3fbee92b9c92aa53188def76e1,archive/exams/original/high/h1/2mid/21_강남여고_2학기_중간_고1_기출.js,11,H15-SB-02,객관식,VALID,⑤,1,false,false,false,false,no residual structural triage flags
qid_v1_70c03da0ae05068257460fd9ccec1bde81fcc5fe93e2dcaa7281d4a3e562fc11,archive/exams/original/high/h1/2mid/21_강남여고_2학기_중간_고1_기출.js,15,H15-SB-02,객관식,VALID,③,1,false,false,false,false,no residual structural triage flags
qid_v1_d78ba95b0bf50d056af478c473d960fd7c163884409e993e7c03892194d25eea,archive/exams/original/high/h1/2mid/21_강남여고_2학기_중간_고1_기출.js,18,H15-SB-02,객관식,VALID,③,1,false,false,false,false,no residual structural triage flags
qid_v1_d6fbfd96362cb8fa27bce3ab2233c201101b5acf9fd15515c68c162ee56c5ddf,archive/exams/original/high/h1/2mid/21_강남여고_2학기_중간_고1_기출.js,24,H15-SB-02,서술형,VALID,$14$,1,false,false,false,false,no residual structural triage flags
qid_v1_0c46d1ad64f82d97c1a3842adb564d635fd184a877fb0dbc4734de6b3d09bada,archive/exams/original/high/h1/2mid/21_금당고_2학기_중간_고1_기출.js,4,H15-SB-02,객관식,VALID,①,1,false,false,false,false,no residual structural triage flags
qid_v1_5c79b8458053ea01b3b28526aa9236280d1253c6fc500f05707b883061f44f0b,archive/exams/original/high/h1/2mid/21_금당고_2학기_중간_고1_기출.js,5,H15-SB-02,객관식,VALID,⑤,1,false,false,false,false,no residual structural triage flags
qid_v1_c2edd246a81755d883bd42262d06308dd539858634ecb5f2c7ead695d8622308,archive/exams/original/high/h1/2mid/21_금당고_2학기_중간_고1_기출.js,8,H15-SB-02,객관식,VALID,⑤,1,false,false,false,false,no residual structural triage flags
qid_v1_9186f15fa51a2b3631240451af3a2fe393dc8e2d00585a0efebf9d5117386e6d,archive/exams/original/high/h1/2mid/21_금당고_2학기_중간_고1_기출.js,9,H15-SB-02,객관식,VALID,④,1,false,false,false,false,no residual structural triage flags
qid_v1_61f923a47f75060b7af133937fb291ea116f63ab1f428d55c67c68dc837d39bf,archive/exams/original/high/h1/2mid/21_금당고_2학기_중간_고1_기출.js,12,H15-SB-02,객관식,VALID,①,1,false,false,false,false,no residual structural triage flags
qid_v1_bae9870ec008fd67605540bca3a1690d9eafe7e92c81c4de207ce9020ef2157e,archive/exams/original/high/h1/2mid/21_금당고_2학기_중간_고1_기출.js,18,H15-SB-02,객관식,VALID,②,1,false,false,false,false,no residual structural triage flags
qid_v1_718c4d4848770d49ba8b1fafb4bd1bf14985b04b04e146977dd005d7c8358655,archive/exams/original/high/h1/2mid/21_금당고_2학기_중간_고1_기출.js,19,H15-SB-02,객관식,VALID,⑤,1,false,false,false,false,no residual structural triage flags
qid_v1_b246f7891e2171a8db16e4b2b4d436a5b545574be9e3b0db1e62da1eca0017e4,archive/exams/original/high/h1/2mid/21_금당고_2학기_중간_고1_기출.js,21,H15-SB-02,서술형,VALID,$\sqrt2$는 무리수이다.,1,false,false,false,false,no residual structural triage flags
qid_v1_b32c42189b60663250a761daf434b16e25b8578258d23e7593c413685df6c10c,archive/exams/original/high/h1/2mid/21_매산고_2학기_중간_고1_기출.js,3,H15-SB-02,객관식,VALID,②,1,false,false,false,false,no residual structural triage flags
qid_v1_6e027a887160f83fbd36306ff8b3801694ba683aa6bbe4f9393bcd0588034868,archive/exams/original/high/h1/2mid/21_매산고_2학기_중간_고1_기출.js,4,H15-SB-02,객관식,VALID,④,1,false,false,false,false,no residual structural triage flags
qid_v1_e4fe5427249c74f22e8c70275019edf38d80e1c55fe635bf316f018cfa9aa16b,archive/exams/original/high/h1/2mid/21_매산고_2학기_중간_고1_기출.js,6,H15-SB-02,객관식,VALID,③,1,false,false,false,false,no residual structural triage flags
qid_v1_eef6bc9dae517f1bfd6cf7dceae1a06db768e28a6a40c49f83a7b8da6c155111,archive/exams/original/high/h1/2mid/21_매산고_2학기_중간_고1_기출.js,7,H15-SB-02,객관식,VALID,⑤,1,false,false,false,false,no residual structural triage flags
qid_v1_86c4d9d8d8b2345966c053ebdcadba6f4e28222627ed8c7b4e239096557dcc3a,archive/exams/original/high/h1/2mid/21_매산고_2학기_중간_고1_기출.js,9,H15-SB-02,객관식,VALID,⑤,1,false,false,false,false,no residual structural triage flags
qid_v1_11c43e80f90102e35115b5e5ca6cbaad8e48896c5c83cc017b7a54606ee292ec,archive/exams/original/high/h1/2mid/21_매산고_2학기_중간_고1_기출.js,19,H15-SB-02,서술형,VALID,"등호 조건 $ay=bx$, 최댓값 $10$, $a=\dfrac65$, $b=\dfrac45$",1,false,false,false,false,no residual structural triage flags
qid_v1_00932ae57c5381d766be7598c50206eec7fb9775ff94174b6d4d129c281e722c,archive/exams/original/high/h1/2mid/21_복성고_2학기_중간_고1_기출.js,7,H15-SB-02,객관식,VALID,②,1,false,false,false,false,no residual structural triage flags
qid_v1_eec51d27b1f93a077df1782827e81523bb43042328e6de3b38df95df27ab11be,archive/exams/original/high/h1/2mid/21_복성고_2학기_중간_고1_기출.js,8,H15-SB-02,객관식,VALID,②,1,false,false,false,false,no residual structural triage flags
qid_v1_b1284b848bd4e1628b85990c7c022b15da4219017a0e5ef8bce6704503f282af,archive/exams/original/high/h1/2mid/21_복성고_2학기_중간_고1_기출.js,14,H15-SB-02,객관식,VALID,①,1,false,false,false,false,no residual structural triage flags
qid_v1_268133f96ac28cb661a39d732994715f80fe752318284390d1b9b9847f293f8d,archive/exams/original/high/h1/2mid/21_복성고_2학기_중간_고1_기출.js,15,H15-SB-02,객관식,VALID,⑤,1,false,false,false,false,no residual structural triage flags
qid_v1_ac17058ae309b76cfc84ef7afb89db89602718147edf68c5743247796f5d6de3,archive/exams/original/high/h1/2mid/21_복성고_2학기_중간_고1_기출.js,20,H15-SB-02,객관식,VALID,②,1,false,false,false,false,no residual structural triage flags
qid_v1_7d64880a2ffc3cceed2953f4d47381f9b588d3a9999462f53cd5dcecfb7886b3,archive/exams/original/high/h1/2mid/21_복성고_2학기_중간_고1_기출.js,21,H15-SB-02,서술형,VALID,"(1) (가) $\dfrac{a+b}{2}$, (나) $\sqrt{ab}$, (다) $\dfrac{(a-b)^2}{4}$, (라) $a=b$ (2) 최대 넓이 $40$, 작은 직사각형의 가로 $\dfrac52$, 세로 $4$",1,false,false,false,false,no residual structural triage flags
qid_v1_a9c1dcacdbc4b2bb5023494fc322ea7d2faacf06a8d29417fadd2e2bd8b9c540,archive/exams/original/high/h1/2mid/21_순천고_2학기_중간_고1_기출.js,5,H15-SB-02,객관식,VALID,④,1,false,false,false,false,no residual structural triage flags
qid_v1_a9c2642c646183f9cf75b94a7ac802200dc024ba5f9b1c439a0ceabc2c3e68d1,archive/exams/original/high/h1/2mid/21_순천고_2학기_중간_고1_기출.js,12,H15-SB-02,객관식,VALID,③,1,false,false,false,false,no residual structural triage flags
qid_v1_802b43d1d5b76edebb1c94d896f5ec8740980c9649a03f9a70816c742fae3d9d,archive/exams/original/high/h1/2mid/21_순천고_2학기_중간_고1_기출.js,13,H15-SB-02,객관식,VALID,④,1,false,false,false,false,no residual structural triage flags
qid_v1_522f92817eb2fae0cc5aa1e7ddc561f449ee4d74713acc1bc7742e6f7af8a10e,archive/exams/original/high/h1/2mid/21_순천고_2학기_중간_고1_기출.js,14,H15-SB-02,객관식,VALID,④,1,false,false,false,false,no residual structural triage flags
qid_v1_415d1ac2d8c73c99d3d1309df981d09272b2a825f14499bd740fc9ebb6172320,archive/exams/original/high/h1/2mid/21_제일고_2학기_중간_고1_기출.js,9,H15-SB-02,객관식,VALID,⑤,1,false,false,false,false,no residual structural triage flags
qid_v1_e6f7dae7a72939e924172143586331356fab34bc7bb1beb0f1ec4714887575b1,archive/exams/original/high/h1/2mid/21_제일고_2학기_중간_고1_기출.js,10,H15-SB-02,객관식,VALID,①,1,false,false,false,false,no residual structural triage flags
qid_v1_e7c10346b1741c868d33a8aed95bae164752a1830fea7ab6a671bcb9b996e737,archive/exams/original/high/h1/2mid/21_제일고_2학기_중간_고1_기출.js,11,H15-SB-02,객관식,STEM_AND_CHOICE_MINIMAL_FIX,④,1,false,false,false,false,q11 source unavailable after documented local search; sign-choice minimum repair independently verified
qid_v1_34efc6ce8ece1fabb276a991a9b5b98bca5d5b9768aa9c7b94342b5db8c91a83,archive/exams/original/high/h1/2mid/21_제일고_2학기_중간_고1_기출.js,12,H15-SB-02,객관식,VALID,⑤,1,false,false,false,false,no residual structural triage flags
qid_v1_d9af80d3b13fb83ca3bd070a8aabbdc34aafc13a73c409b6b41edab3587852a0,archive/exams/original/high/h1/2mid/21_제일고_2학기_중간_고1_기출.js,21,H15-SB-02,서술형,VALID,$4\sqrt5$,1,false,false,false,false,no residual structural triage flags
qid_v1_68042f8a32d0cfeee3270274c77141eee8123251b024b23a72284d56b45b3655,archive/exams/original/high/h1/2mid/21_팔마고_2학기_중간_고1_기출.js,4,H15-SB-02,객관식,VALID,①,1,false,false,false,false,no residual structural triage flags
qid_v1_99dff0d4676460dff269b2680031a9bbbd45ad129a6ebd5db2710ad46307ffa1,archive/exams/original/high/h1/2mid/21_팔마고_2학기_중간_고1_기출.js,5,H15-SB-02,객관식,VALID,③,1,false,false,false,false,no residual structural triage flags
qid_v1_5cad6a8b4086250cc8ffdc8f0a0a872c86174d30a5c22654ab22e63ffb60e304,archive/exams/original/high/h1/2mid/21_팔마고_2학기_중간_고1_기출.js,6,H15-SB-02,객관식,VALID,②,1,false,false,false,false,no residual structural triage flags
qid_v1_998b1ccdd9356313323803a1b2027c29280852a76c7faef64bbab05b2e602666,archive/exams/original/high/h1/2mid/21_팔마고_2학기_중간_고1_기출.js,11,H15-SB-02,객관식,VALID,⑤,1,false,false,false,false,no residual structural triage flags
qid_v1_b29065c1f2f8814059f30f17950b519e4e302f07c3c22a550edbcb301fdf279a,archive/exams/original/high/h1/2mid/21_팔마고_2학기_중간_고1_기출.js,12,H15-SB-02,객관식,VALID,②,1,false,false,false,false,no residual structural triage flags
qid_v1_91f73d520d5d3e33efaff4cd9cf10ae872f9ed5b247ae2dd70f4947f7a932879,archive/exams/original/high/h1/2mid/21_팔마고_2학기_중간_고1_기출.js,14,H15-SB-02,단답형,VALID,"역: $a^2\ge3$이면 $a\ge\sqrt3$이다. (거짓), 대우: $a^2\lt3$이면 $a\lt\sqrt3$이다. (참)",1,false,false,false,false,no residual structural triage flags
qid_v1_2e80a2346a00d4194cab761334f363c72ee07909500e6b5441d7473a3cf0a104,archive/exams/original/high/h1/2mid/21_팔마고_2학기_중간_고1_기출.js,20,H15-SB-02,서술형,VALID,명제는 참이다.,1,false,false,false,false,no residual structural triage flags
qid_v1_1a01eaaa4e1a675571d760906c036394daf8de34f6459b5b90caf618be89eddd,archive/exams/original/high/h1/2mid/21_효천고_2학기_중간_고1_기출.js,4,H15-SB-02,객관식,VALID,②,1,false,false,false,false,no residual structural triage flags
qid_v1_ff3c3ee70bc833ed9a55d38273db5ab93cf8a26d838ad4e7d4da1ef5d81716e6,archive/exams/original/high/h1/2mid/21_효천고_2학기_중간_고1_기출.js,12,H15-SB-02,객관식,VALID,②,1,false,false,false,false,no residual structural triage flags
qid_v1_3bb44b73339e9c47327bc3f7ed147f3cc8602b2598267c2c811884ae36853410,archive/exams/original/high/h1/2mid/21_효천고_2학기_중간_고1_기출.js,14,H15-SB-02,객관식,VALID,③,1,false,false,false,false,no residual structural triage flags
qid_v1_e37d36e8b5f36ca86fe6426fa3f693097deab48d31b50c47fab6026060ab3fd2,archive/exams/original/high/h1/2mid/21_효천고_2학기_중간_고1_기출.js,22,H15-SB-02,서술형,VALID,$0<a\le12$,1,false,false,false,false,no residual structural triage flags
qid_v1_73c1be77feeb04c17b01273dac6dbd0c6c1c9fc88eaa5487967c2fc2580271fd,archive/exams/original/high/h1/2mid/22_강남여고_2학기_중간_고1_기출.js,2,H15-SB-02,객관식,VALID,②,1,false,false,false,false,no residual structural triage flags
qid_v1_76c2702cfd8309f7b3002c586ad6372be438f37917ce52f70735383f71b5442f,archive/exams/original/high/h1/2mid/22_강남여고_2학기_중간_고1_기출.js,8,H15-SB-02,객관식,VALID,③,1,false,false,false,false,no residual structural triage flags
qid_v1_0c59435b3c4073e1b923dbb231cc7159caae8f4d3b926ab53cc200f90ee2b5f4,archive/exams/original/high/h1/2mid/22_강남여고_2학기_중간_고1_기출.js,11,H15-SB-02,객관식,VALID,③,1,false,false,false,false,no residual structural triage flags
qid_v1_738c1b5fe4a70402531368684f441cd0dd2b5ef1232cc485eb90b2eff3968f45,archive/exams/original/high/h1/2mid/22_강남여고_2학기_중간_고1_기출.js,15,H15-SB-02,객관식,VALID,④,1,false,false,false,false,no residual structural triage flags
qid_v1_b15d46b7921887c61aa0dc261df65c037fd38793bdc8583f4fd3adf31ced2840,archive/exams/original/high/h1/2mid/22_강남여고_2학기_중간_고1_기출.js,18,H15-SB-02,객관식,VALID,④,1,false,false,false,false,no residual structural triage flags
qid_v1_c030310dc3bac390160ade5015a04d4abc8d127cbff539b1eede4bf1f12f6325,archive/exams/original/high/h1/2mid/22_금당고_2학기_중간_고1_기출.js,4,H15-SB-02,객관식,VALID,⑤,1,false,false,false,false,no residual structural triage flags
qid_v1_5a6cff33315d453d7178ba426043979dc539a60f49efd57922f65135ba3a6b52,archive/exams/original/high/h1/2mid/22_금당고_2학기_중간_고1_기출.js,5,H15-SB-02,객관식,VALID,④,1,false,false,false,false,no residual structural triage flags
qid_v1_280e39fd9d1fbc9faaa1539330c3e278d95cd228fd772f9ffeff2beccc46a8f8,archive/exams/original/high/h1/2mid/22_금당고_2학기_중간_고1_기출.js,8,H15-SB-02,객관식,VALID,⑤,1,false,false,false,false,no residual structural triage flags
qid_v1_ec48277fa98127de616b2b8daaa544bb92b7471550d567dde2b5dabd1e9467e9,archive/exams/original/high/h1/2mid/22_금당고_2학기_중간_고1_기출.js,10,H15-SB-02,객관식,VALID,②,1,false,false,false,false,no residual structural triage flags
qid_v1_ad05f31001cfc266cce6fe467ab3908db87a3f0d42be05b4985cec525cad9dd2,archive/exams/original/high/h1/2mid/22_금당고_2학기_중간_고1_기출.js,14,H15-SB-02,객관식,VALID,④,1,false,false,false,false,no residual structural triage flags
qid_v1_b1ecf75d8ca1dc6425c792f4a00377a913acc8a47edc8d6120c5a36321850238,archive/exams/original/high/h1/2mid/22_금당고_2학기_중간_고1_기출.js,15,H15-SB-02,객관식,VALID,①,1,false,false,false,false,no residual structural triage flags
qid_v1_d854b05b591a459616397ef198db32d8a09ace4ba443914f8515a05081938e12,archive/exams/original/high/h1/2mid/22_금당고_2학기_중간_고1_기출.js,18,H15-SB-02,단답형,VALID,$120$,1,false,false,false,false,no residual structural triage flags
qid_v1_1a9d60400a9432e1342b658102d2125eaca358194f17d5edbbf800ea95d699d3,archive/exams/original/high/h1/2mid/22_금당고_2학기_중간_고1_기출.js,19,H15-SB-02,단답형,VALID,$6\sqrt2$,1,false,false,false,false,no residual structural triage flags
qid_v1_8d5384cf927e45d2588b95a153af8f4f9e024a4519460eea334816faa8f61cae,archive/exams/original/high/h1/2mid/22_매산고_2학기_중간_고1_기출.js,3,H15-SB-02,객관식,VALID,③,1,false,false,false,false,no residual structural triage flags
qid_v1_ca53b3a172fff0cf3948ac765440d219999b95c73f51e0e75dabaa5690dc4001,archive/exams/original/high/h1/2mid/22_매산고_2학기_중간_고1_기출.js,4,H15-SB-02,객관식,VALID,③,1,false,false,false,false,no residual structural triage flags
qid_v1_4eb2d0f2bb95df995d416547fcf9afb916504694ca3afe1b68ea0f2c90ef4dd4,archive/exams/original/high/h1/2mid/22_매산고_2학기_중간_고1_기출.js,7,H15-SB-02,객관식,VALID,④,1,false,false,false,false,no residual structural triage flags
qid_v1_2737a9b2f493be5bfc79e8161066710f0911be65d83abf7087edf491530b60b0,archive/exams/original/high/h1/2mid/22_매산고_2학기_중간_고1_기출.js,12,H15-SB-02,객관식,VALID,③,1,false,false,false,false,no residual structural triage flags
qid_v1_b867d05891ee4bb558c6a9f124a2d9d32a2c77dd4721138a2bc2674d45c5f298,archive/exams/original/high/h1/2mid/22_매산고_2학기_중간_고1_기출.js,13,H15-SB-02,객관식,VALID,⑤,1,false,false,false,false,no residual structural triage flags
qid_v1_6080ac9603195fc9ef95246559c71241e42348a517619a1c486345f843b1eee6,archive/exams/original/high/h1/2mid/22_복성고_2학기_중간_고1_기출.js,2,H15-SB-02,객관식,VALID,①,1,false,false,false,false,no residual structural triage flags
qid_v1_325876b620dfb022e748db31cf3193d4c09413c49b122f32eff867e9b7d97d4c,archive/exams/original/high/h1/2mid/22_복성고_2학기_중간_고1_기출.js,11,H15-SB-02,객관식,VALID,②,1,false,false,false,false,no residual structural triage flags
qid_v1_ac9f53fd3f1b9362ea5092ba1bc5f2acfbca5eda565a4cb072a1cb6c2826b15e,archive/exams/original/high/h1/2mid/22_복성고_2학기_중간_고1_기출.js,18,H15-SB-02,객관식,VALID,①,1,false,false,false,false,no residual structural triage flags
