questionUid,examId,standardUnitKey,subUnitKey,graphRequirement,graphRole,graphGapDisposition,problemImageRef,solutionImageRef,problemImageStatus,problemVisualType,problemVisualStatus,solutionImageStatus,baselineProblemImageHash,baselineSolutionImageHash
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_27,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,H15-SB-05,H15-SB-05-IRRATIONAL_GRAPH,UNADJUDICATED,PROBLEM_PRESENT_REVIEW,SOLUTION_VISUAL_PRESENT,assets/images/21_강남여고_2학기_기말_고1_기출/q27.png,assets/images/21_강남여고_2학기_기말_고1_기출/q27-solution.svg,PRESENT,,PRESENT,PRESENT,e26635fdcc549920de3eef8e0c4d542627da6d5343748c40c842b8f3a5aa2781,2feea57661c5dd0bfe28729e8159a99a418059b09d75e6471755ffeb85cb160e
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_28,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,H15-SB-04,H15-SB-04-RATIONAL_APPLICATION,UNADJUDICATED,SOLUTION_CANDIDATE,SOLUTION_VISUAL_PRESENT,,assets/images/21_강남여고_2학기_기말_고1_기출/q28-solution.svg,ABSENT,,ABSENT,PRESENT,,736e19eaf0595425c136933b456ae18f5b36e6a8a07b491cf997882a9476c45c
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_29,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,H15-SB-05,H15-SB-05-IRRATIONAL_GRAPH,UNADJUDICATED,SOLUTION_CANDIDATE,SOLUTION_VISUAL_PRESENT,,assets/images/21_강남여고_2학기_기말_고1_기출/q29-solution.svg,ABSENT,,ABSENT,PRESENT,,3ca33169a9c6f6ad1de223397b1d9fa96b40d272fd618812cde76e1236bae114
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_3,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,H15-SB-04,H15-SB-04-RATIONAL_GRAPH,UNADJUDICATED,SOLUTION_CANDIDATE,SOLUTION_VISUAL_PRESENT,,assets/images/21_강남여고_2학기_기말_고1_기출/q03-solution.svg,ABSENT,,ABSENT,PRESENT,,f83cdd0e8d0fa75698a47e8a6b7b497c3080fc855d881ec6b09f5589ee5d03a0
h1:original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js_4,original/high/h1/2final/21_강남여고_2학기_기말_고1_기출.js,H15-SB-05,H15-SB-05-IRRATIONAL_GRAPH,UNADJUDICATED,SOLUTION_CANDIDATE,PRIORITY_1_EXPLICIT_GRAPH_CANDIDATE,,,ABSENT,,ABSENT,ABSENT,,
h1:original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_11,original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js,H15-SB-03,H15-SB-03-COMPOSITE_FUNCTION,UNADJUDICATED,SOLUTION_CANDIDATE,PRIORITY_2_GRAPH_RELATION_CANDIDATE,,,ABSENT,,ABSENT,ABSENT,,
h1:original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_12,original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js,H15-SB-05,H15-SB-05-IRRATIONAL_BASIC,UNADJUDICATED,SOLUTION_CANDIDATE,TRIAGE_NO_GRAPH_SIGNAL,,,ABSENT,,ABSENT,ABSENT,,
h1:original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_18,original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js,H15-SB-05,H15-SB-05-IRRATIONAL_GRAPH,UNADJUDICATED,PROBLEM_PRESENT_REVIEW,PRIORITY_1_GRAPH_GAP_CANDIDATE,assets/images/21_금당고_2학기_기말_고1_기출/q18.png,,PRESENT,,PRESENT,ABSENT,b47156d5956550e57bc6050bcea3a7d5182babcf128e1ae83c48a58b8b6b8c62,
h1:original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_19,original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js,H15-SB-03,H15-SB-03-INVERSE_FUNCTION,UNADJUDICATED,SOLUTION_CANDIDATE,TRIAGE_NO_GRAPH_SIGNAL,,,ABSENT,,ABSENT,ABSENT,,
h1:original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_2,original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js,H15-SB-04,H15-SB-04-RATIONAL_BASIC,UNADJUDICATED,SOLUTION_CANDIDATE,TRIAGE_NO_GRAPH_SIGNAL,,,ABSENT,,ABSENT,ABSENT,,
h1:original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_22,original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js,H15-SB-04,H15-SB-04-RATIONAL_BASIC,UNADJUDICATED,SOLUTION_CANDIDATE,SOLUTION_VISUAL_PRESENT,,assets/images/21_금당고_2학기_기말_고1_기출/q22-solution.svg,ABSENT,,ABSENT,PRESENT,,94e3c7f108bed9ce9d9cebe3d68cd803121801a10187460e141cf107d605e4f7
h1:original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_3,original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js,H15-SB-03,H15-SB-03-FUNCTION_RELATION,UNADJUDICATED,SOLUTION_CANDIDATE,TRIAGE_NO_GRAPH_SIGNAL,,,ABSENT,,ABSENT,ABSENT,,
h1:original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_4,original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js,H15-SB-05,H15-SB-05-IRRATIONAL_BASIC,UNADJUDICATED,SOLUTION_CANDIDATE,SOLUTION_VISUAL_PRESENT,,assets/images/21_금당고_2학기_기말_고1_기출/q04-solution.svg,ABSENT,,ABSENT,PRESENT,,5d09248f5aa79b921efebe904714110918eafa08366d1e7996bbd580830dafc9
h1:original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_8,original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js,H15-SB-03,H15-SB-03-INVERSE_FUNCTION,UNADJUDICATED,SOLUTION_CANDIDATE,SOLUTION_VISUAL_PRESENT,,assets/images/21_금당고_2학기_기말_고1_기출/q08-solution.svg,ABSENT,,ABSENT,PRESENT,,aa098268d92d5b64174b1f03fc60e1cb89dfe81ef6e07fd40c61085ad5615f07
h1:original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_9,original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js,H15-SB-04,H15-SB-04-RATIONAL_BASIC,UNADJUDICATED,SOLUTION_CANDIDATE,TRIAGE_NO_GRAPH_SIGNAL,,,ABSENT,,ABSENT,ABSENT,,
h1:original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_1,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js,H15-SB-03,H15-SB-03-INVERSE_FUNCTION,UNADJUDICATED,PROBLEM_PRESENT_REVIEW,PRIORITY_1_GRAPH_GAP_CANDIDATE,assets/images/21_복성고_2학기_기말_고1_기출/q1.png,,PRESENT,,PRESENT,ABSENT,628639fb9b7d479e4c1c0e269eed5467e2a8da341ba706f58370359c488be37c,
h1:original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_10,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js,H15-SB-04,H15-SB-04-RATIONAL_GRAPH,UNADJUDICATED,PROBLEM_PRESENT_REVIEW,SOLUTION_VISUAL_PRESENT,assets/images/21_복성고_2학기_기말_고1_기출/q10.png,assets/images/21_복성고_2학기_기말_고1_기출/q10-solution.svg,PRESENT,,PRESENT,PRESENT,4164f22bb48a5f66aa11dbbe3d743c85a1b1f2bbb86ac3c5cafd7411ce46f3be,71a8e88bba3a8f0c1cd96841b4a9672aa8db362c2e5ad5bf3de2661a58b103f6
h1:original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_11,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js,H15-SB-05,H15-SB-05-IRRATIONAL_BASIC,UNADJUDICATED,SOLUTION_CANDIDATE,SOLUTION_VISUAL_PRESENT,,assets/images/21_복성고_2학기_기말_고1_기출/q11-solution.svg,ABSENT,,ABSENT,PRESENT,,2f6b4fdb75547775cd8e04326c85bf49a042c65f2a9869d2a88674a112bd2b44
h1:original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_12,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js,H15-SB-05,H15-SB-05-IRRATIONAL_INVERSE,UNADJUDICATED,SOLUTION_CANDIDATE,SOLUTION_VISUAL_PRESENT,,assets/images/21_복성고_2학기_기말_고1_기출/q12-solution.svg,ABSENT,,ABSENT,PRESENT,,721fd185b7d8507748197a2c364bfe7713458ed4e10946bbdd31e0116f095cd3
h1:original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_13,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js,H15-SB-04,H15-SB-04-RATIONAL_BASIC,UNADJUDICATED,SOLUTION_CANDIDATE,TRIAGE_NO_GRAPH_SIGNAL,,,ABSENT,,ABSENT,ABSENT,,
h1:original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_16,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js,H15-SB-03,H15-SB-03-FUNCTION_RELATION,UNADJUDICATED,SOLUTION_CANDIDATE,TRIAGE_NO_GRAPH_SIGNAL,,,ABSENT,,ABSENT,ABSENT,,
h1:original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_17,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js,H15-SB-03,H15-SB-03-FUNCTION_RELATION,UNADJUDICATED,SOLUTION_CANDIDATE,TRIAGE_NO_GRAPH_SIGNAL,,,ABSENT,,ABSENT,ABSENT,,
h1:original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_18,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js,H15-SB-03,H15-SB-03-FUNCTION_RELATION,UNADJUDICATED,SOLUTION_CANDIDATE,TRIAGE_NO_GRAPH_SIGNAL,,,ABSENT,,ABSENT,ABSENT,,
h1:original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_2,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js,H15-SB-03,H15-SB-03-COMPOSITE_FUNCTION,UNADJUDICATED,SOLUTION_CANDIDATE,PRIORITY_2_GRAPH_SUBUNIT_CANDIDATE,,,ABSENT,,ABSENT,ABSENT,,
h1:original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_22,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js,H15-SB-05,H15-SB-05-IRRATIONAL_BASIC,UNADJUDICATED,SOLUTION_CANDIDATE,SOLUTION_VISUAL_PRESENT,,assets/images/21_복성고_2학기_기말_고1_기출/q22-solution.svg,ABSENT,,ABSENT,PRESENT,,4ffd9948a460cec54beb4468afb28a7e6f299914a5bf2d56f401d59beea1dddb
h1:original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_23,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js,H15-SB-03,H15-SB-03-FUNCTION_RELATION,UNADJUDICATED,SOLUTION_CANDIDATE,TRIAGE_NO_GRAPH_SIGNAL,,,ABSENT,,ABSENT,ABSENT,,
h1:original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_3,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js,H15-SB-04,H15-SB-04-RATIONAL_BASIC,UNADJUDICATED,SOLUTION_CANDIDATE,SOLUTION_VISUAL_PRESENT,,assets/images/21_복성고_2학기_기말_고1_기출/q03-solution.svg,ABSENT,,ABSENT,PRESENT,,188ec47378831627e403351f2d4877c4a24e87a9a4f4c7221763d0af7f77dc7c
h1:original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_4,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js,H15-SB-05,H15-SB-05-IRRATIONAL_BASIC,UNADJUDICATED,SOLUTION_CANDIDATE,SOLUTION_VISUAL_PRESENT,,assets/images/21_복성고_2학기_기말_고1_기출/q04-solution.svg,ABSENT,,ABSENT,PRESENT,,771e9bdc13f3215b7b8f984762a12f0270d36dd7b994870cee24201ddf41214d
h1:original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_7,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js,H15-SB-03,H15-SB-03-COMPOSITE_FUNCTION,UNADJUDICATED,PROBLEM_PRESENT_REVIEW,PRIORITY_1_GRAPH_GAP_CANDIDATE,assets/images/21_복성고_2학기_기말_고1_기출/q7.png,,PRESENT,,PRESENT,ABSENT,1339a6b9d607dbfadea342c0d6dd4d253fc51d8f24d8863f2135446e0b43e409,
h1:original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_8,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js,H15-SB-03,H15-SB-03-FUNCTION_RELATION,UNADJUDICATED,SOLUTION_CANDIDATE,TRIAGE_NO_GRAPH_SIGNAL,,,ABSENT,,ABSENT,ABSENT,,
h1:original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_9,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js,H15-SB-03,H15-SB-03-FUNCTION_RELATION,UNADJUDICATED,SOLUTION_CANDIDATE,TRIAGE_NO_GRAPH_SIGNAL,,,ABSENT,,ABSENT,ABSENT,,
h1:original/high/h1/2final/21_순천고_2학기_기말_고1_기출.js_1,original/high/h1/2final/21_순천고_2학기_기말_고1_기출.js,H15-SB-04,H15-SB-04-RATIONAL_BASIC,UNADJUDICATED,SOLUTION_CANDIDATE,TRIAGE_NO_GRAPH_SIGNAL,,,ABSENT,,ABSENT,ABSENT,,
h1:original/high/h1/2final/21_순천고_2학기_기말_고1_기출.js_10,original/high/h1/2final/21_순천고_2학기_기말_고1_기출.js,H15-SB-05,H15-SB-05-IRRATIONAL_GRAPH,UNADJUDICATED,PROBLEM_PRESENT_REVIEW,SOLUTION_VISUAL_PRESENT,assets/images/21_순천고_2학기_기말_고1_기출/q10.png,assets/images/21_순천고_2학기_기말_고1_기출/q10-solution.svg,PRESENT,,PRESENT,PRESENT,1f771c251657a3beb9d213413a45cdb71318f4a9981e22ffc15aeea392a90134,4cd31d990b6b7bf5f3a7a4bbe7e280e5c30ea712d2410dda94a9ea9b476a41cb
h1:original/high/h1/2final/21_순천고_2학기_기말_고1_기출.js_11,original/high/h1/2final/21_순천고_2학기_기말_고1_기출.js,H15-SB-05,H15-SB-05-IRRATIONAL_BASIC,UNADJUDICATED,SOLUTION_CANDIDATE,SOLUTION_VISUAL_PRESENT,,assets/images/21_순천고_2학기_기말_고1_기출/q11-solution.svg,ABSENT,,ABSENT,PRESENT,,0fa3da7fc42d2725ad00ec432f46633784de7b1550a49be4cfed8ff1954b854b
h1:original/high/h1/2final/21_순천고_2학기_기말_고1_기출.js_15,original/high/h1/2final/21_순천고_2학기_기말_고1_기출.js,H15-SB-03,H15-SB-03-FUNCTION_RELATION,UNADJUDICATED,SOLUTION_CANDIDATE,TRIAGE_NO_GRAPH_SIGNAL,,,ABSENT,,ABSENT,ABSENT,,
h1:original/high/h1/2final/21_순천고_2학기_기말_고1_기출.js_18,original/high/h1/2final/21_순천고_2학기_기말_고1_기출.js,H15-SB-04,H15-SB-04-RATIONAL_BASIC,UNADJUDICATED,SOLUTION_CANDIDATE,SOLUTION_VISUAL_PRESENT,,assets/images/21_순천고_2학기_기말_고1_기출/q18-solution.svg,ABSENT,,ABSENT,PRESENT,,38f3516c59c20ac1f3d326ffb573fba59c4ed77fe2667d8019e424f3225a4bc3
h1:original/high/h1/2final/21_순천고_2학기_기말_고1_기출.js_2,original/high/h1/2final/21_순천고_2학기_기말_고1_기출.js,H15-SB-04,H15-SB-04-RATIONAL_BASIC,UNADJUDICATED,SOLUTION_CANDIDATE,SOLUTION_VISUAL_PRESENT,,assets/images/21_순천고_2학기_기말_고1_기출/q02-solution.svg,ABSENT,,ABSENT,PRESENT,,beb4dba9bcee6efebfe3766f87ac0db0594bb2931e23e8beed3310d6973063c4
h1:original/high/h1/2final/21_순천고_2학기_기말_고1_기출.js_22,original/high/h1/2final/21_순천고_2학기_기말_고1_기출.js,H15-SB-03,H15-SB-03-COMPOSITE_FUNCTION,UNADJUDICATED,SOLUTION_CANDIDATE,PRIORITY_2_GRAPH_SUBUNIT_CANDIDATE,,,ABSENT,,ABSENT,ABSENT,,
h1:original/high/h1/2final/21_순천고_2학기_기말_고1_기출.js_8,original/high/h1/2final/21_순천고_2학기_기말_고1_기출.js,H15-SB-05,H15-SB-05-IRRATIONAL_BASIC,UNADJUDICATED,SOLUTION_CANDIDATE,SOLUTION_VISUAL_PRESENT,,assets/images/21_순천고_2학기_기말_고1_기출/q08-solution.svg,ABSENT,,ABSENT,PRESENT,,3603e35f8f2ddfcf6fbd6683eaa85d0a3a985bd703bfde1aba1044b4f5f16ee6
h1:original/high/h1/2final/21_순천고_2학기_기말_고1_기출.js_9,original/high/h1/2final/21_순천고_2학기_기말_고1_기출.js,H15-SB-05,H15-SB-05-IRRATIONAL_BASIC,UNADJUDICATED,SOLUTION_CANDIDATE,SOLUTION_VISUAL_PRESENT,,assets/images/21_순천고_2학기_기말_고1_기출/q09-solution.svg,ABSENT,,ABSENT,PRESENT,,ad89d733acb07530bb0912100e1781254b9e19d93d78c4ca0d87a4b755d18ac4
h1:original/high/h1/2final/21_제일고_2학기_기말_고1_기출.js_1,original/high/h1/2final/21_제일고_2학기_기말_고1_기출.js,H15-SB-03,H15-SB-03-COMPOSITE_FUNCTION,UNADJUDICATED,SOLUTION_CANDIDATE,PRIORITY_2_GRAPH_SUBUNIT_CANDIDATE,,,ABSENT,,ABSENT,ABSENT,,
h1:original/high/h1/2final/21_제일고_2학기_기말_고1_기출.js_18,original/high/h1/2final/21_제일고_2학기_기말_고1_기출.js,H15-SB-03,H15-SB-03-FUNCTION_RELATION,UNADJUDICATED,SOLUTION_CANDIDATE,TRIAGE_NO_GRAPH_SIGNAL,,,ABSENT,,ABSENT,ABSENT,,
h1:original/high/h1/2final/21_제일고_2학기_기말_고1_기출.js_2,original/high/h1/2final/21_제일고_2학기_기말_고1_기출.js,H15-SB-03,H15-SB-03-INVERSE_FUNCTION,UNADJUDICATED,SOLUTION_CANDIDATE,TRIAGE_NO_GRAPH_SIGNAL,,,ABSENT,,ABSENT,ABSENT,,
h1:original/high/h1/2final/21_제일고_2학기_기말_고1_기출.js_20,original/high/h1/2final/21_제일고_2학기_기말_고1_기출.js,H15-SB-03,H15-SB-03-COMPOSITE_FUNCTION,UNADJUDICATED,SOLUTION_CANDIDATE,PRIORITY_2_GRAPH_RELATION_CANDIDATE,,,ABSENT,,ABSENT,ABSENT,,
h1:original/high/h1/2final/21_제일고_2학기_기말_고1_기출.js_22,original/high/h1/2final/21_제일고_2학기_기말_고1_기출.js,H15-SB-03,H15-SB-03-COMPOSITE_FUNCTION,UNADJUDICATED,SOLUTION_CANDIDATE,PRIORITY_2_GRAPH_SUBUNIT_CANDIDATE,,,ABSENT,,ABSENT,ABSENT,,
h1:original/high/h1/2final/21_제일고_2학기_기말_고1_기출.js_4,original/high/h1/2final/21_제일고_2학기_기말_고1_기출.js,H15-SB-04,H15-SB-04-RATIONAL_GRAPH,UNADJUDICATED,SOLUTION_CANDIDATE,SOLUTION_VISUAL_PRESENT,,assets/images/21_제일고_2학기_기말_고1_기출/q04-solution.svg,ABSENT,,ABSENT,PRESENT,,dc55e79f073df059d0ba1b0fd582d3e74dc2be6fb474f1b7b014a7a68c02849f
h1:original/high/h1/2final/21_제일고_2학기_기말_고1_기출.js_5,original/high/h1/2final/21_제일고_2학기_기말_고1_기출.js,H15-SB-05,H15-SB-05-IRRATIONAL_BASIC,UNADJUDICATED,SOLUTION_CANDIDATE,SOLUTION_VISUAL_PRESENT,,assets/images/21_제일고_2학기_기말_고1_기출/q05-solution.svg,ABSENT,,ABSENT,PRESENT,,c2f8ab491d8d5cd39539568755bb74797ea4aeefa8590b937a9daba88771eb63
h1:original/high/h1/2final/21_제일고_2학기_기말_고1_기출.js_6,original/high/h1/2final/21_제일고_2학기_기말_고1_기출.js,H15-SB-04,H15-SB-04-RATIONAL_BASIC,UNADJUDICATED,SOLUTION_CANDIDATE,TRIAGE_NO_GRAPH_SIGNAL,,,ABSENT,,ABSENT,ABSENT,,
h1:original/high/h1/2final/21_제일고_2학기_기말_고1_기출.js_7,original/high/h1/2final/21_제일고_2학기_기말_고1_기출.js,H15-SB-05,H15-SB-05-IRRATIONAL_BASIC,UNADJUDICATED,PROBLEM_PRESENT_REVIEW,PRIORITY_1_GRAPH_GAP_CANDIDATE,assets/images/21_제일고_2학기_기말_고1_기출/q7.png,,PRESENT,,PRESENT,ABSENT,475f8c1c512623edd065a37f53260f4e15f363442d72b933d93685944304bd58,
h1:original/high/h1/2final/21_제일고_2학기_기말_고1_기출.js_8,original/high/h1/2final/21_제일고_2학기_기말_고1_기출.js,H15-SB-03,H15-SB-03-INVERSE_FUNCTION,UNADJUDICATED,SOLUTION_CANDIDATE,TRIAGE_NO_GRAPH_SIGNAL,,,ABSENT,,ABSENT,ABSENT,,
h1:original/high/h1/2final/21_제일고_2학기_기말_고1_기출.js_9,original/high/h1/2final/21_제일고_2학기_기말_고1_기출.js,H15-SB-04,H15-SB-04-RATIONAL_APPLICATION,UNADJUDICATED,SOLUTION_CANDIDATE,TRIAGE_NO_GRAPH_SIGNAL,,,ABSENT,,ABSENT,ABSENT,,
h1:original/high/h1/2final/21_팔마고_2학기_기말_고1_기출.js_1,original/high/h1/2final/21_팔마고_2학기_기말_고1_기출.js,H15-SB-04,H15-SB-04-RATIONAL_BASIC,UNADJUDICATED,SOLUTION_CANDIDATE,TRIAGE_NO_GRAPH_SIGNAL,,,ABSENT,,ABSENT,ABSENT,,
h1:original/high/h1/2final/21_팔마고_2학기_기말_고1_기출.js_13,original/high/h1/2final/21_팔마고_2학기_기말_고1_기출.js,H15-SB-03,H15-SB-03-FUNCTION_RELATION,UNADJUDICATED,SOLUTION_CANDIDATE,TRIAGE_NO_GRAPH_SIGNAL,,,ABSENT,,ABSENT,ABSENT,,
