source,question,asset,content,choices,answer,solution,solutionImage,svg
archive/exams/original/high/h1/1final/23_복성고_1학기_기말_고1_기출.js,20,archive/assets/images/23_복성고_1학기_기말_고1_기출/q20-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/23_순천여고_1학기_기말_고1_기출.js,9,archive/assets/images/23_순천여고_1학기_기말_고1_기출/q09-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/23_순천여고_1학기_기말_고1_기출.js,15,archive/assets/images/23_순천여고_1학기_기말_고1_기출/q15-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/23_순천여고_1학기_기말_고1_기출.js,16,archive/assets/images/23_순천여고_1학기_기말_고1_기출/q16-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/23_제일고_1학기_기말_고1_기출.js,14,archive/assets/images/23_제일고_1학기_기말_고1_기출/q14-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/23_제일고_1학기_기말_고1_기출.js,18,archive/assets/images/23_제일고_1학기_기말_고1_기출/q18-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/23_제일고_1학기_기말_고1_기출.js,22,archive/assets/images/23_제일고_1학기_기말_고1_기출/q22-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/23_팔마고_1학기_기말_고1_기출.js,14,archive/assets/images/23_팔마고_1학기_기말_고1_기출/q14-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/24_금당고_1학기_기말_고1_기출.js,7,archive/assets/images/24_금당고_1학기_기말_고1_기출/q07-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/24_금당고_1학기_기말_고1_기출.js,9,archive/assets/images/24_금당고_1학기_기말_고1_기출/q09-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/24_금당고_1학기_기말_고1_기출.js,16,archive/assets/images/24_금당고_1학기_기말_고1_기출/q16-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/24_금당고_1학기_기말_고1_기출.js,20,archive/assets/images/24_금당고_1학기_기말_고1_기출/q20-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/24_매산고_1학기_기말_고1_기출.js,7,archive/assets/images/24_매산고_1학기_기말_고1_기출/q07-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/24_매산고_1학기_기말_고1_기출.js,9,archive/assets/images/24_매산고_1학기_기말_고1_기출/q09-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/24_매산고_1학기_기말_고1_기출.js,15,archive/assets/images/24_매산고_1학기_기말_고1_기출/q15-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/24_매산고_1학기_기말_고1_기출.js,17,archive/assets/images/24_매산고_1학기_기말_고1_기출/q17-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/24_제일고_1학기_기말_고1_기출.js,10,archive/assets/images/24_제일고_1학기_기말_고1_기출/q10-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/24_제일고_1학기_기말_고1_기출.js,12,archive/assets/images/24_제일고_1학기_기말_고1_기출/q12-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/24_제일고_1학기_기말_고1_기출.js,13,archive/assets/images/24_제일고_1학기_기말_고1_기출/q13-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/24_제일고_1학기_기말_고1_기출.js,15,archive/assets/images/24_제일고_1학기_기말_고1_기출/q15-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/24_제일고_1학기_기말_고1_기출.js,17,archive/assets/images/24_제일고_1학기_기말_고1_기출/q17-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/24_제일고_1학기_기말_고1_기출.js,21,archive/assets/images/24_제일고_1학기_기말_고1_기출/q21-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/1final/24_제일고_1학기_기말_고1_기출.js,22,archive/assets/images/24_제일고_1학기_기말_고1_기출/q22-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js,18,archive/assets/images/25_금당고_2학기_기말_고1_기출/q18-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js,3,archive/assets/images/25_제일고_2학기_기말_고1_기출/q03-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js,7,archive/assets/images/25_제일고_2학기_기말_고1_기출/q07-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,3,archive/assets/images/25_금당고_2학기_중간_고1_기출/q03-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,4,archive/assets/images/25_금당고_2학기_중간_고1_기출/q04-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,8,archive/assets/images/25_금당고_2학기_중간_고1_기출/q08-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,11,archive/assets/images/25_금당고_2학기_중간_고1_기출/q11-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,12,archive/assets/images/25_금당고_2학기_중간_고1_기출/q12-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,16,archive/assets/images/25_금당고_2학기_중간_고1_기출/q16-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,18,archive/assets/images/25_금당고_2학기_중간_고1_기출/q18-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,19,archive/assets/images/25_금당고_2학기_중간_고1_기출/q19-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,21,archive/assets/images/25_금당고_2학기_중간_고1_기출/q21-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js,7,archive/assets/images/25_매산고_2학기_중간_고1_기출/q07-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js,10,archive/assets/images/25_매산고_2학기_중간_고1_기출/q10-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js,14,archive/assets/images/25_매산고_2학기_중간_고1_기출/q14-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js,18,archive/assets/images/25_매산고_2학기_중간_고1_기출/q18-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js,20,archive/assets/images/25_매산고_2학기_중간_고1_기출/q20-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js,7,archive/assets/images/25_순천고_2학기_중간_고1_기출/q07-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js,9,archive/assets/images/25_순천고_2학기_중간_고1_기출/q09-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js,10,archive/assets/images/25_순천고_2학기_중간_고1_기출/q10-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js,14,archive/assets/images/25_순천여고_2학기_중간_고1_공통수학2/q14-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js,17,archive/assets/images/25_순천여고_2학기_중간_고1_공통수학2/q17-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js,21,archive/assets/images/25_순천여고_2학기_중간_고1_공통수학2/q21-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
archive/exams/original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js,13,archive/assets/images/25_제일고_2학기_중간_고1_기출/q13-solution.svg,PROTECTED,PROTECTED,PROTECTED,PROTECTED,PATH_PRESERVED,REPAIRED_ONLY
