exam,question,issue,source,asset,assetRole,status
23_복성고_1학기_기말_고1_기출,20,"P 위치 및 C₂=(6,−8)·반지름 축척",archive/exams/original/high/h1/1final/23_복성고_1학기_기말_고1_기출.js,archive/assets/images/23_복성고_1학기_기말_고1_기출/q20-solution.svg,solutionImage,REPAIRED
23_순천여고_1학기_기말_고1_기출,9,직선 기울기·가짜 접선·직선 부호,archive/exams/original/high/h1/1final/23_순천여고_1학기_기말_고1_기출.js,archive/assets/images/23_순천여고_1학기_기말_고1_기출/q09-solution.svg,solutionImage,REPAIRED
23_순천여고_1학기_기말_고1_기출,15,직선 기울기·가짜 접선·직선 부호,archive/exams/original/high/h1/1final/23_순천여고_1학기_기말_고1_기출.js,archive/assets/images/23_순천여고_1학기_기말_고1_기출/q15-solution.svg,solutionImage,REPAIRED
23_순천여고_1학기_기말_고1_기출,16,직선 기울기·가짜 접선·직선 부호,archive/exams/original/high/h1/1final/23_순천여고_1학기_기말_고1_기출.js,archive/assets/images/23_순천여고_1학기_기말_고1_기출/q16-solution.svg,solutionImage,REPAIRED
23_제일고_1학기_기말_고1_기출,14,중심좌표·곡선 교점·두 중심 좌표,archive/exams/original/high/h1/1final/23_제일고_1학기_기말_고1_기출.js,archive/assets/images/23_제일고_1학기_기말_고1_기출/q14-solution.svg,solutionImage,REPAIRED
23_제일고_1학기_기말_고1_기출,18,중심좌표·곡선 교점·두 중심 좌표,archive/exams/original/high/h1/1final/23_제일고_1학기_기말_고1_기출.js,archive/assets/images/23_제일고_1학기_기말_고1_기출/q18-solution.svg,solutionImage,REPAIRED
23_제일고_1학기_기말_고1_기출,22,중심좌표·곡선 교점·두 중심 좌표,archive/exams/original/high/h1/1final/23_제일고_1학기_기말_고1_기출.js,archive/assets/images/23_제일고_1학기_기말_고1_기출/q22-solution.svg,solutionImage,REPAIRED
23_팔마고_1학기_기말_고1_기출,14,실제 접촉현 및 중심 통과 오류,archive/exams/original/high/h1/1final/23_팔마고_1학기_기말_고1_기출.js,archive/assets/images/23_팔마고_1학기_기말_고1_기출/q14-solution.svg,solutionImage,REPAIRED
24_금당고_1학기_기말_고1_기출,7,중심·접점·축접선·수직관계 (4/4 FAIL),archive/exams/original/high/h1/1final/24_금당고_1학기_기말_고1_기출.js,archive/assets/images/24_금당고_1학기_기말_고1_기출/q07-solution.svg,solutionImage,REPAIRED
24_금당고_1학기_기말_고1_기출,9,중심·접점·축접선·수직관계 (4/4 FAIL),archive/exams/original/high/h1/1final/24_금당고_1학기_기말_고1_기출.js,archive/assets/images/24_금당고_1학기_기말_고1_기출/q09-solution.svg,solutionImage,REPAIRED
24_금당고_1학기_기말_고1_기출,16,중심·접점·축접선·수직관계 (4/4 FAIL),archive/exams/original/high/h1/1final/24_금당고_1학기_기말_고1_기출.js,archive/assets/images/24_금당고_1학기_기말_고1_기출/q16-solution.svg,solutionImage,REPAIRED
24_금당고_1학기_기말_고1_기출,20,중심·접점·축접선·수직관계 (4/4 FAIL),archive/exams/original/high/h1/1final/24_금당고_1학기_기말_고1_기출.js,archive/assets/images/24_금당고_1학기_기말_고1_기출/q20-solution.svg,solutionImage,REPAIRED
24_매산고_1학기_기말_고1_기출,7,좌표·접점·직선·축접선 (4/4 FAIL),archive/exams/original/high/h1/1final/24_매산고_1학기_기말_고1_기출.js,archive/assets/images/24_매산고_1학기_기말_고1_기출/q07-solution.svg,solutionImage,REPAIRED
24_매산고_1학기_기말_고1_기출,9,좌표·접점·직선·축접선 (4/4 FAIL),archive/exams/original/high/h1/1final/24_매산고_1학기_기말_고1_기출.js,archive/assets/images/24_매산고_1학기_기말_고1_기출/q09-solution.svg,solutionImage,REPAIRED
24_매산고_1학기_기말_고1_기출,15,좌표·접점·직선·축접선 (4/4 FAIL),archive/exams/original/high/h1/1final/24_매산고_1학기_기말_고1_기출.js,archive/assets/images/24_매산고_1학기_기말_고1_기출/q15-solution.svg,solutionImage,REPAIRED
24_매산고_1학기_기말_고1_기출,17,좌표·접점·직선·축접선 (4/4 FAIL),archive/exams/original/high/h1/1final/24_매산고_1학기_기말_고1_기출.js,archive/assets/images/24_매산고_1학기_기말_고1_기출/q17-solution.svg,solutionImage,REPAIRED
24_제일고_1학기_기말_고1_기출,10,좌표·공통현·접선·중심 (7/7 FAIL),archive/exams/original/high/h1/1final/24_제일고_1학기_기말_고1_기출.js,archive/assets/images/24_제일고_1학기_기말_고1_기출/q10-solution.svg,solutionImage,REPAIRED
24_제일고_1학기_기말_고1_기출,12,좌표·공통현·접선·중심 (7/7 FAIL),archive/exams/original/high/h1/1final/24_제일고_1학기_기말_고1_기출.js,archive/assets/images/24_제일고_1학기_기말_고1_기출/q12-solution.svg,solutionImage,REPAIRED
24_제일고_1학기_기말_고1_기출,13,좌표·공통현·접선·중심 (7/7 FAIL),archive/exams/original/high/h1/1final/24_제일고_1학기_기말_고1_기출.js,archive/assets/images/24_제일고_1학기_기말_고1_기출/q13-solution.svg,solutionImage,REPAIRED
24_제일고_1학기_기말_고1_기출,15,좌표·공통현·접선·중심 (7/7 FAIL),archive/exams/original/high/h1/1final/24_제일고_1학기_기말_고1_기출.js,archive/assets/images/24_제일고_1학기_기말_고1_기출/q15-solution.svg,solutionImage,REPAIRED
24_제일고_1학기_기말_고1_기출,17,좌표·공통현·접선·중심 (7/7 FAIL),archive/exams/original/high/h1/1final/24_제일고_1학기_기말_고1_기출.js,archive/assets/images/24_제일고_1학기_기말_고1_기출/q17-solution.svg,solutionImage,REPAIRED
24_제일고_1학기_기말_고1_기출,21,좌표·공통현·접선·중심 (7/7 FAIL),archive/exams/original/high/h1/1final/24_제일고_1학기_기말_고1_기출.js,archive/assets/images/24_제일고_1학기_기말_고1_기출/q21-solution.svg,solutionImage,REPAIRED
24_제일고_1학기_기말_고1_기출,22,좌표·공통현·접선·중심 (7/7 FAIL),archive/exams/original/high/h1/1final/24_제일고_1학기_기말_고1_기출.js,archive/assets/images/24_제일고_1학기_기말_고1_기출/q22-solution.svg,solutionImage,REPAIRED
25_금당고_2학기_기말_고1_기출,18,2x−y=k 직선 방향,archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js,archive/assets/images/25_금당고_2학기_기말_고1_기출/q18-solution.svg,solutionImage,REPAIRED
25_제일고_2학기_기말_고1_기출,3,"접선의 접점 통과 및 P,C 좌표",archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js,archive/assets/images/25_제일고_2학기_기말_고1_기출/q03-solution.svg,solutionImage,REPAIRED
25_제일고_2학기_기말_고1_기출,7,"접선의 접점 통과 및 P,C 좌표",archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js,archive/assets/images/25_제일고_2학기_기말_고1_기출/q07-solution.svg,solutionImage,REPAIRED
25_금당고_2학기_중간_고1_기출,3,반지름·현·공통점·접촉현·원 위 점 (9/9 FAIL),archive/exams/original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,archive/assets/images/25_금당고_2학기_중간_고1_기출/q03-solution.svg,solutionImage,REPAIRED
25_금당고_2학기_중간_고1_기출,4,반지름·현·공통점·접촉현·원 위 점 (9/9 FAIL),archive/exams/original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,archive/assets/images/25_금당고_2학기_중간_고1_기출/q04-solution.svg,solutionImage,REPAIRED
25_금당고_2학기_중간_고1_기출,8,반지름·현·공통점·접촉현·원 위 점 (9/9 FAIL),archive/exams/original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,archive/assets/images/25_금당고_2학기_중간_고1_기출/q08-solution.svg,solutionImage,REPAIRED
25_금당고_2학기_중간_고1_기출,11,반지름·현·공통점·접촉현·원 위 점 (9/9 FAIL),archive/exams/original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,archive/assets/images/25_금당고_2학기_중간_고1_기출/q11-solution.svg,solutionImage,REPAIRED
25_금당고_2학기_중간_고1_기출,12,반지름·현·공통점·접촉현·원 위 점 (9/9 FAIL),archive/exams/original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,archive/assets/images/25_금당고_2학기_중간_고1_기출/q12-solution.svg,solutionImage,REPAIRED
25_금당고_2학기_중간_고1_기출,16,반지름·현·공통점·접촉현·원 위 점 (9/9 FAIL),archive/exams/original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,archive/assets/images/25_금당고_2학기_중간_고1_기출/q16-solution.svg,solutionImage,REPAIRED
25_금당고_2학기_중간_고1_기출,18,반지름·현·공통점·접촉현·원 위 점 (9/9 FAIL),archive/exams/original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,archive/assets/images/25_금당고_2학기_중간_고1_기출/q18-solution.svg,solutionImage,REPAIRED
25_금당고_2학기_중간_고1_기출,19,반지름·현·공통점·접촉현·원 위 점 (9/9 FAIL),archive/exams/original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,archive/assets/images/25_금당고_2학기_중간_고1_기출/q19-solution.svg,solutionImage,REPAIRED
25_금당고_2학기_중간_고1_기출,21,반지름·현·공통점·접촉현·원 위 점 (9/9 FAIL),archive/exams/original/high/h1/2mid/25_금당고_2학기_중간_고1_기출.js,archive/assets/images/25_금당고_2학기_중간_고1_기출/q21-solution.svg,solutionImage,REPAIRED
25_매산고_2학기_중간_고1_기출,7,접선 방향·좌표·축접선 (5/5 FAIL),archive/exams/original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js,archive/assets/images/25_매산고_2학기_중간_고1_기출/q07-solution.svg,solutionImage,REPAIRED
25_매산고_2학기_중간_고1_기출,10,접선 방향·좌표·축접선 (5/5 FAIL),archive/exams/original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js,archive/assets/images/25_매산고_2학기_중간_고1_기출/q10-solution.svg,solutionImage,REPAIRED
25_매산고_2학기_중간_고1_기출,14,접선 방향·좌표·축접선 (5/5 FAIL),archive/exams/original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js,archive/assets/images/25_매산고_2학기_중간_고1_기출/q14-solution.svg,solutionImage,REPAIRED
25_매산고_2학기_중간_고1_기출,18,접선 방향·좌표·축접선 (5/5 FAIL),archive/exams/original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js,archive/assets/images/25_매산고_2학기_중간_고1_기출/q18-solution.svg,solutionImage,REPAIRED
25_매산고_2학기_중간_고1_기출,20,접선 방향·좌표·축접선 (5/5 FAIL),archive/exams/original/high/h1/2mid/25_매산고_2학기_중간_고1_기출.js,archive/assets/images/25_매산고_2학기_중간_고1_기출/q20-solution.svg,solutionImage,REPAIRED
25_순천고_2학기_중간_고1_기출,7,"수선/거리·P(2,−1)·현·직선·원 관계",archive/exams/original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js,archive/assets/images/25_순천고_2학기_중간_고1_기출/q07-solution.svg,solutionImage,REPAIRED
25_순천고_2학기_중간_고1_기출,9,"수선/거리·P(2,−1)·현·직선·원 관계",archive/exams/original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js,archive/assets/images/25_순천고_2학기_중간_고1_기출/q09-solution.svg,solutionImage,REPAIRED
25_순천고_2학기_중간_고1_기출,10,"수선/거리·P(2,−1)·현·직선·원 관계",archive/exams/original/high/h1/2mid/25_순천고_2학기_중간_고1_기출.js,archive/assets/images/25_순천고_2학기_중간_고1_기출/q10-solution.svg,solutionImage,REPAIRED
25_순천여고_2학기_중간_고1_공통수학2,14,수선·공통현·접점 (3/3 FAIL),archive/exams/original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js,archive/assets/images/25_순천여고_2학기_중간_고1_공통수학2/q14-solution.svg,solutionImage,REPAIRED
25_순천여고_2학기_중간_고1_공통수학2,17,수선·공통현·접점 (3/3 FAIL),archive/exams/original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js,archive/assets/images/25_순천여고_2학기_중간_고1_공통수학2/q17-solution.svg,solutionImage,REPAIRED
25_순천여고_2학기_중간_고1_공통수학2,21,수선·공통현·접점 (3/3 FAIL),archive/exams/original/high/h1/2mid/25_순천여고_2학기_중간_고1_공통수학2.js,archive/assets/images/25_순천여고_2학기_중간_고1_공통수학2/q21-solution.svg,solutionImage,REPAIRED
25_제일고_2학기_중간_고1_기출,13,평행 접선 기울기,archive/exams/original/high/h1/2mid/25_제일고_2학기_중간_고1_기출.js,archive/assets/images/25_제일고_2학기_중간_고1_기출/q13-solution.svg,solutionImage,REPAIRED
