questionUid,sourceJsPath,id,standardUnitKey,answer,extractedConclusion,solutionLength,staticStatus,independentSolveStatus,solutionDisposition,findings,jumpSignals
"23_제일고_1학기_기말_고2_수학I::q18","archive/exams/original/high/h2/1final/23_제일고_1학기_기말_고2_수학I.js","18","H15-M1-10","①","①","643","REVIEW","PENDING","UNFROZEN","",""
"23_제일고_1학기_기말_고2_수학I::q19","archive/exams/original/high/h2/1final/23_제일고_1학기_기말_고2_수학I.js","19","H15-M1-09","①","①","838","REVIEW","PENDING","UNFROZEN","LOGIC_JUMP_PHRASE_REVIEW","정리하면|대입하면"
"23_제일고_1학기_기말_고2_수학I::q20","archive/exams/original/high/h2/1final/23_제일고_1학기_기말_고2_수학I.js","20","H15-M1-06","주기 $\dfrac{\pi}{2}$, 최댓값 $2$, 최솟값 $-1$","","650","REVIEW","PENDING","UNFROZEN","",""
"23_제일고_1학기_기말_고2_수학I::q21","archive/exams/original/high/h2/1final/23_제일고_1학기_기말_고2_수학I.js","21","H15-M1-09","90","","440","REVIEW","PENDING","UNFROZEN","",""
"23_제일고_1학기_기말_고2_수학I::q22","archive/exams/original/high/h2/1final/23_제일고_1학기_기말_고2_수학I.js","22","H15-M1-08","12","","531","REVIEW","PENDING","UNFROZEN","",""
"23_제일고_1학기_기말_고2_수학I::q23","archive/exams/original/high/h2/1final/23_제일고_1학기_기말_고2_수학I.js","23","H15-M1-08","$m=-3$, $k=5$, $a_7=-8$, $b_7=54$, $a_7+b_7=46$","","1170","REVIEW","PENDING","UNFROZEN","",""
"23_팔마고_1학기_기말_고2_수학I::q1","archive/exams/original/high/h2/1final/23_팔마고_1학기_기말_고2_수학I.js","1","H15-M1-07","④","④","330","REVIEW","PENDING","UNFROZEN","",""
"23_팔마고_1학기_기말_고2_수학I::q2","archive/exams/original/high/h2/1final/23_팔마고_1학기_기말_고2_수학I.js","2","H15-M1-09","②","②","178","REVIEW","PENDING","UNFROZEN","SHORT_SOLUTION_REVIEW",""
"23_팔마고_1학기_기말_고2_수학I::q3","archive/exams/original/high/h2/1final/23_팔마고_1학기_기말_고2_수학I.js","3","H15-M1-10","①","①","249","REVIEW","PENDING","UNFROZEN","",""
"23_팔마고_1학기_기말_고2_수학I::q4","archive/exams/original/high/h2/1final/23_팔마고_1학기_기말_고2_수학I.js","4","H15-M1-05","③","③","227","REVIEW","PENDING","UNFROZEN","",""
"23_팔마고_1학기_기말_고2_수학I::q5","archive/exams/original/high/h2/1final/23_팔마고_1학기_기말_고2_수학I.js","5","H15-M1-08","④","④","241","REVIEW","PENDING","UNFROZEN","",""
"23_팔마고_1학기_기말_고2_수학I::q6","archive/exams/original/high/h2/1final/23_팔마고_1학기_기말_고2_수학I.js","6","H15-M1-05","①","①","310","REVIEW","PENDING","UNFROZEN","",""
"23_팔마고_1학기_기말_고2_수학I::q7","archive/exams/original/high/h2/1final/23_팔마고_1학기_기말_고2_수학I.js","7","H15-M1-05","②","②","473","REVIEW","PENDING","UNFROZEN","LOGIC_JUMP_PHRASE_REVIEW","정리하면"
"23_팔마고_1학기_기말_고2_수학I::q8","archive/exams/original/high/h2/1final/23_팔마고_1학기_기말_고2_수학I.js","8","H15-M1-08","③","③","252","REVIEW","PENDING","UNFROZEN","",""
"23_팔마고_1학기_기말_고2_수학I::q9","archive/exams/original/high/h2/1final/23_팔마고_1학기_기말_고2_수학I.js","9","H15-M1-07","⑤","⑤","466","REVIEW","PENDING","UNFROZEN","LOGIC_JUMP_PHRASE_REVIEW","대입하면"
"23_팔마고_1학기_기말_고2_수학I::q10","archive/exams/original/high/h2/1final/23_팔마고_1학기_기말_고2_수학I.js","10","H15-M1-09","③","③","394","REVIEW","PENDING","UNFROZEN","LOGIC_JUMP_PHRASE_REVIEW","대입하면"
"23_팔마고_1학기_기말_고2_수학I::q11","archive/exams/original/high/h2/1final/23_팔마고_1학기_기말_고2_수학I.js","11","H15-M1-10","⑤","⑤","298","REVIEW","PENDING","UNFROZEN","",""
"23_팔마고_1학기_기말_고2_수학I::q12","archive/exams/original/high/h2/1final/23_팔마고_1학기_기말_고2_수학I.js","12","H15-M1-09","④","④","389","REVIEW","PENDING","UNFROZEN","",""
"23_팔마고_1학기_기말_고2_수학I::q13","archive/exams/original/high/h2/1final/23_팔마고_1학기_기말_고2_수학I.js","13","H15-M1-07","⑤","⑤","477","REVIEW","PENDING","UNFROZEN","LOGIC_JUMP_PHRASE_REVIEW","대입하면"
"23_팔마고_1학기_기말_고2_수학I::q14","archive/exams/original/high/h2/1final/23_팔마고_1학기_기말_고2_수학I.js","14","H15-M1-10","②","②","481","REVIEW","PENDING","UNFROZEN","",""
"23_팔마고_1학기_기말_고2_수학I::q15","archive/exams/original/high/h2/1final/23_팔마고_1학기_기말_고2_수학I.js","15","H15-M1-10","④","④","333","REVIEW","PENDING","UNFROZEN","",""
"23_팔마고_1학기_기말_고2_수학I::q16","archive/exams/original/high/h2/1final/23_팔마고_1학기_기말_고2_수학I.js","16","H15-M1-07","①","①","489","REVIEW","PENDING","UNFROZEN","",""
"23_팔마고_1학기_기말_고2_수학I::q17","archive/exams/original/high/h2/1final/23_팔마고_1학기_기말_고2_수학I.js","17","H15-M1-05","②","②","876","REVIEW","PENDING","UNFROZEN","LOGIC_JUMP_PHRASE_REVIEW","정리하면|대입하면"
"23_팔마고_1학기_기말_고2_수학I::q18","archive/exams/original/high/h2/1final/23_팔마고_1학기_기말_고2_수학I.js","18","H15-M1-05","$\dfrac{15\pi}{2}$","","984","REVIEW","PENDING","UNFROZEN","LOGIC_JUMP_PHRASE_REVIEW","대입하면"
"23_팔마고_1학기_기말_고2_수학I::q19","archive/exams/original/high/h2/1final/23_팔마고_1학기_기말_고2_수학I.js","19","H15-M1-08","75","","339","REVIEW","PENDING","UNFROZEN","",""
"23_팔마고_1학기_기말_고2_수학I::q20","archive/exams/original/high/h2/1final/23_팔마고_1학기_기말_고2_수학I.js","20","H15-M1-05","$\sqrt{19}$","","358","REVIEW","PENDING","UNFROZEN","",""
"23_팔마고_1학기_기말_고2_수학I::q21","archive/exams/original/high/h2/1final/23_팔마고_1학기_기말_고2_수학I.js","21","H15-M1-07","$\dfrac{7\pi}{4}$","","812","REVIEW","PENDING","UNFROZEN","",""
"23_팔마고_1학기_기말_고2_수학I::q22","archive/exams/original/high/h2/1final/23_팔마고_1학기_기말_고2_수학I.js","22","H15-M1-10","826","","411","REVIEW","PENDING","UNFROZEN","",""
"24_강남여고_1학기_기말_고2_수학I::q1","archive/exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","1","H15-M1-08","②","②","136","REVIEW","PENDING","UNFROZEN","SHORT_SOLUTION_REVIEW",""
"24_강남여고_1학기_기말_고2_수학I::q2","archive/exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","2","H15-M1-10","⑤","⑤","232","REVIEW","PENDING","UNFROZEN","",""
"24_강남여고_1학기_기말_고2_수학I::q3","archive/exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","3","H15-M1-08","①","①","171","REVIEW","PENDING","UNFROZEN","SHORT_SOLUTION_REVIEW",""
"24_강남여고_1학기_기말_고2_수학I::q4","archive/exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","4","H15-M1-10","④","④","215","REVIEW","PENDING","UNFROZEN","",""
"24_강남여고_1학기_기말_고2_수학I::q5","archive/exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","5","H15-M1-05","③","③","237","REVIEW","PENDING","UNFROZEN","",""
"24_강남여고_1학기_기말_고2_수학I::q6","archive/exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","6","H15-M1-05","①","①","238","REVIEW","PENDING","UNFROZEN","",""
"24_강남여고_1학기_기말_고2_수학I::q7","archive/exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","7","H15-M1-05","⑤","⑤","302","REVIEW","PENDING","UNFROZEN","",""
"24_강남여고_1학기_기말_고2_수학I::q8","archive/exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","8","H15-M1-09","②","②","185","REVIEW","PENDING","UNFROZEN","",""
"24_강남여고_1학기_기말_고2_수학I::q9","archive/exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","9","H15-M1-05","③","③","237","REVIEW","PENDING","UNFROZEN","",""
"24_강남여고_1학기_기말_고2_수학I::q10","archive/exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","10","H15-M1-10","②","②","344","REVIEW","PENDING","UNFROZEN","",""
"24_강남여고_1학기_기말_고2_수학I::q11","archive/exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","11","H15-M1-09","④","④","469","REVIEW","PENDING","UNFROZEN","",""
"24_강남여고_1학기_기말_고2_수학I::q12","archive/exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","12","H15-M1-05","①","①","248","REVIEW","PENDING","UNFROZEN","",""
"24_강남여고_1학기_기말_고2_수학I::q13","archive/exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","13","H15-M1-10","①","①","368","REVIEW","PENDING","UNFROZEN","",""
"24_강남여고_1학기_기말_고2_수학I::q14","archive/exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","14","H15-M1-09","⑤","⑤","315","REVIEW","PENDING","UNFROZEN","",""
"24_강남여고_1학기_기말_고2_수학I::q15","archive/exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","15","H15-M1-09","②","②","292","REVIEW","PENDING","UNFROZEN","",""
"24_강남여고_1학기_기말_고2_수학I::q16","archive/exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","16","H15-M1-10","④","④","337","REVIEW","PENDING","UNFROZEN","",""
"24_강남여고_1학기_기말_고2_수학I::q17","archive/exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","17","H15-M1-05","①","①","403","REVIEW","PENDING","UNFROZEN","",""
"24_강남여고_1학기_기말_고2_수학I::q18","archive/exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","18","H15-M1-08","⑤","⑤","649","REVIEW","PENDING","UNFROZEN","LOGIC_JUMP_PHRASE_REVIEW","대입하면"
"24_강남여고_1학기_기말_고2_수학I::q19","archive/exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","19","H15-M1-10","②","②","527","REVIEW","PENDING","UNFROZEN","",""
"24_강남여고_1학기_기말_고2_수학I::q20","archive/exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","20","H15-M1-11","③","③","680","REVIEW","PENDING","UNFROZEN","",""
"24_강남여고_1학기_기말_고2_수학I::q21","archive/exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","21","H15-M1-05","④","④","632","REVIEW","PENDING","UNFROZEN","LOGIC_JUMP_PHRASE_REVIEW","대입하면"
"24_강남여고_1학기_기말_고2_수학I::q22","archive/exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","22","H15-M1-08","$a=3,\ b=7,\ c=9,\ d=1$","","419","REVIEW","PENDING","UNFROZEN","LOGIC_JUMP_PHRASE_REVIEW","대입하면"
"24_강남여고_1학기_기말_고2_수학I::q23","archive/exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","23","H15-M1-05","$a=4\sqrt3,\ B=90^\circ,\ C=30^\circ$","","399","REVIEW","PENDING","UNFROZEN","",""
"24_강남여고_1학기_기말_고2_수학I::q24","archive/exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","24","H15-M1-10","$a_n=\dfrac{1}{(2n-1)(2n+1)}$","","475","REVIEW","PENDING","UNFROZEN","",""
"24_강남여고_1학기_기말_고2_수학I::q25","archive/exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","25","H15-M1-10","165","","454","REVIEW","PENDING","UNFROZEN","",""
"24_팔마고_1학기_기말_고2_수학I::q1","archive/exams/original/high/h2/1final/24_팔마고_1학기_기말_고2_수학I.js","1","H15-M1-05","④","④","462","REVIEW","PENDING","UNFROZEN","",""
"24_팔마고_1학기_기말_고2_수학I::q2","archive/exams/original/high/h2/1final/24_팔마고_1학기_기말_고2_수학I.js","2","H15-M1-05","③","③","463","REVIEW","PENDING","UNFROZEN","",""
"24_팔마고_1학기_기말_고2_수학I::q3","archive/exams/original/high/h2/1final/24_팔마고_1학기_기말_고2_수학I.js","3","H15-M1-08","①","①","314","REVIEW","PENDING","UNFROZEN","",""
"24_팔마고_1학기_기말_고2_수학I::q4","archive/exams/original/high/h2/1final/24_팔마고_1학기_기말_고2_수학I.js","4","H15-M1-10","②","②","256","REVIEW","PENDING","UNFROZEN","",""
"24_팔마고_1학기_기말_고2_수학I::q5","archive/exams/original/high/h2/1final/24_팔마고_1학기_기말_고2_수학I.js","5","H15-M1-09","①","①","313","REVIEW","PENDING","UNFROZEN","",""
"24_팔마고_1학기_기말_고2_수학I::q6","archive/exams/original/high/h2/1final/24_팔마고_1학기_기말_고2_수학I.js","6","H15-M1-10","②","②","433","REVIEW","PENDING","UNFROZEN","",""
"24_팔마고_1학기_기말_고2_수학I::q7","archive/exams/original/high/h2/1final/24_팔마고_1학기_기말_고2_수학I.js","7","H15-M1-06","⑤","","528","FAIL","PENDING","UNFROZEN","CONCLUSION_MISSING",""
"24_팔마고_1학기_기말_고2_수학I::q8","archive/exams/original/high/h2/1final/24_팔마고_1학기_기말_고2_수학I.js","8","H15-M1-09","④","④","403","REVIEW","PENDING","UNFROZEN","",""
"24_팔마고_1학기_기말_고2_수학I::q9","archive/exams/original/high/h2/1final/24_팔마고_1학기_기말_고2_수학I.js","9","H15-M1-06","①","①","456","REVIEW","PENDING","UNFROZEN","",""
"24_팔마고_1학기_기말_고2_수학I::q10","archive/exams/original/high/h2/1final/24_팔마고_1학기_기말_고2_수학I.js","10","H15-M1-11","⑤","⑤","381","REVIEW","PENDING","UNFROZEN","",""
"24_팔마고_1학기_기말_고2_수학I::q11","archive/exams/original/high/h2/1final/24_팔마고_1학기_기말_고2_수학I.js","11","H15-M1-06","③","③","413","REVIEW","PENDING","UNFROZEN","",""
"24_팔마고_1학기_기말_고2_수학I::q12","archive/exams/original/high/h2/1final/24_팔마고_1학기_기말_고2_수학I.js","12","H15-M1-07","④","④","555","REVIEW","PENDING","UNFROZEN","",""
"24_팔마고_1학기_기말_고2_수학I::q13","archive/exams/original/high/h2/1final/24_팔마고_1학기_기말_고2_수학I.js","13","H15-M1-07","③","③","911","REVIEW","PENDING","UNFROZEN","",""
"24_팔마고_1학기_기말_고2_수학I::q14","archive/exams/original/high/h2/1final/24_팔마고_1학기_기말_고2_수학I.js","14","H15-M1-06","③","③","628","REVIEW","PENDING","UNFROZEN","LOGIC_JUMP_PHRASE_REVIEW","대입하면"
"24_팔마고_1학기_기말_고2_수학I::q15","archive/exams/original/high/h2/1final/24_팔마고_1학기_기말_고2_수학I.js","15","H15-M1-05","②","②","696","REVIEW","PENDING","UNFROZEN","LOGIC_JUMP_PHRASE_REVIEW","정리하면|대입하면"
"24_팔마고_1학기_기말_고2_수학I::q16","archive/exams/original/high/h2/1final/24_팔마고_1학기_기말_고2_수학I.js","16","H15-M1-06","①","①","862","REVIEW","PENDING","UNFROZEN","",""
"24_팔마고_1학기_기말_고2_수학I::q17","archive/exams/original/high/h2/1final/24_팔마고_1학기_기말_고2_수학I.js","17","H15-M1-05","$-\dfrac{3}{5}$","","609","REVIEW","PENDING","UNFROZEN","",""
"24_팔마고_1학기_기말_고2_수학I::q18","archive/exams/original/high/h2/1final/24_팔마고_1학기_기말_고2_수학I.js","18","H15-M1-10","61","","460","REVIEW","PENDING","UNFROZEN","LOGIC_JUMP_PHRASE_REVIEW","대입하면"
"24_팔마고_1학기_기말_고2_수학I::q19","archive/exams/original/high/h2/1final/24_팔마고_1학기_기말_고2_수학I.js","19","H15-M1-05","$\sqrt5$","","816","REVIEW","PENDING","UNFROZEN","",""
"24_팔마고_1학기_기말_고2_수학I::q20","archive/exams/original/high/h2/1final/24_팔마고_1학기_기말_고2_수학I.js","20","H15-M1-08","$3n-12$","","491","REVIEW","PENDING","UNFROZEN","",""
"24_팔마고_1학기_기말_고2_수학I::q21","archive/exams/original/high/h2/1final/24_팔마고_1학기_기말_고2_수학I.js","21","H15-M1-07","$\dfrac{\pi}{3}\le\theta<\dfrac{\pi}{2}$","","918","REVIEW","PENDING","UNFROZEN","LOGIC_JUMP_PHRASE_REVIEW","정리하면|대입하면"
"24_팔마고_1학기_기말_고2_수학I::q22","archive/exams/original/high/h2/1final/24_팔마고_1학기_기말_고2_수학I.js","22","H15-M1-05","$6\sqrt2$","","889","REVIEW","PENDING","UNFROZEN","",""
"25_금당고_1학기_기말_고2_수학I::q1","archive/exams/original/high/h2/1final/25_금당고_1학기_기말_고2_수학I.js","1","H15-M1-08","④","④","289","REVIEW","PENDING","UNFROZEN","",""
"25_금당고_1학기_기말_고2_수학I::q2","archive/exams/original/high/h2/1final/25_금당고_1학기_기말_고2_수학I.js","2","H15-M1-08","⑤","⑤","341","REVIEW","PENDING","UNFROZEN","",""
"25_금당고_1학기_기말_고2_수학I::q3","archive/exams/original/high/h2/1final/25_금당고_1학기_기말_고2_수학I.js","3","H15-M1-09","③","③","347","REVIEW","PENDING","UNFROZEN","LOGIC_JUMP_PHRASE_REVIEW","대입하면|공식에 대입하면"
"25_금당고_1학기_기말_고2_수학I::q4","archive/exams/original/high/h2/1final/25_금당고_1학기_기말_고2_수학I.js","4","H15-M1-05","②","②","631","REVIEW","PENDING","UNFROZEN","",""
"25_금당고_1학기_기말_고2_수학I::q5","archive/exams/original/high/h2/1final/25_금당고_1학기_기말_고2_수학I.js","5","H15-M1-05","①","①","380","REVIEW","PENDING","UNFROZEN","LOGIC_JUMP_PHRASE_REVIEW","정리하면|대입하면"
"25_금당고_1학기_기말_고2_수학I::q6","archive/exams/original/high/h2/1final/25_금당고_1학기_기말_고2_수학I.js","6","H15-M1-05","⑤","⑤","345","REVIEW","PENDING","UNFROZEN","LOGIC_JUMP_PHRASE_REVIEW","대입하면|공식에 대입하면"
"25_금당고_1학기_기말_고2_수학I::q7","archive/exams/original/high/h2/1final/25_금당고_1학기_기말_고2_수학I.js","7","H15-M1-10","①","①","643","REVIEW","PENDING","UNFROZEN","LOGIC_JUMP_PHRASE_REVIEW","정리하면|대입하면"
"25_금당고_1학기_기말_고2_수학I::q8","archive/exams/original/high/h2/1final/25_금당고_1학기_기말_고2_수학I.js","8","H15-M1-05","⑤","⑤","527","REVIEW","PENDING","UNFROZEN","",""
"25_금당고_1학기_기말_고2_수학I::q9","archive/exams/original/high/h2/1final/25_금당고_1학기_기말_고2_수학I.js","9","H15-M1-05","①","①","501","REVIEW","PENDING","UNFROZEN","",""
"25_금당고_1학기_기말_고2_수학I::q10","archive/exams/original/high/h2/1final/25_금당고_1학기_기말_고2_수학I.js","10","H15-M1-05","②","②","637","REVIEW","PENDING","UNFROZEN","",""
"25_금당고_1학기_기말_고2_수학I::q11","archive/exams/original/high/h2/1final/25_금당고_1학기_기말_고2_수학I.js","11","H15-M1-10","②","②","428","REVIEW","PENDING","UNFROZEN","",""
