questionUid,qKey,standardUnitKey,subUnitKey,problemImageStatus,problemVisualType,problemVisualStatus,solutionImageStatus,graphGapDisposition,graphCandidateScore,graphCandidateReasons,graphRequirement,qualityDisposition,placeholderFound,contentPreview
h1:original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_9,original/high/h1/2final/21_금당고_2학기_기말_고1_기출.js_9,H15-SB-04,H15-SB-04-RATIONAL_BASIC,ABSENT,,ABSENT,ABSENT,TRIAGE_NO_GRAPH_SIGNAL,0,,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"두 유리함수 $f(x)=\dfrac{2x-1}{x+2}$, $g(x)=\dfrac{ax+b}{x+c}$가 $f(g(x))=x$를 만족시킬 때, $a+b+c$의 값을 구하시오. [3.8점]"
h1:original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_1,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_1,H15-SB-03,H15-SB-03-INVERSE_FUNCTION,PRESENT,,PRESENT,ABSENT,PRIORITY_1_GRAPH_GAP_CANDIDATE,10,explicit-graph|problem-image,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,오른쪽 그림과 같은 함수 $f:X\to Y$에 대하여 $f(2)+f^{-1}(5)$의 값을 구하시오. [3.3점]
h1:original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_10,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_10,H15-SB-04,H15-SB-04-RATIONAL_GRAPH,PRESENT,,PRESENT,ABSENT,PRIORITY_1_GRAPH_GAP_CANDIDATE,10,explicit-graph|problem-image,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"유리함수 $f(x)=\dfrac{ax+b}{x+c}$의 그래프가 오른쪽 그림과 같을 때, $cf(4)$의 값을 구하시오. ($a,b,c$는 상수) [3.8점]"
h1:original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_11,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_11,H15-SB-05,H15-SB-05-IRRATIONAL_BASIC,ABSENT,,ABSENT,PRESENT,SOLUTION_VISUAL_PRESENT,0,solutionImage-present,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,무리함수 $y=\sqrt{4-2x}$의 그래프와 직선 $y=-x+k$가 서로 다른 두 점에서 만나도록 하는 실수 $k$의 값의 범위는 $\alpha\le k\lt\beta$이다. $\alpha\beta$의 값을 구하시오. [3.8점]
h1:original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_12,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_12,H15-SB-05,H15-SB-05-IRRATIONAL_INVERSE,ABSENT,,ABSENT,PRESENT,SOLUTION_VISUAL_PRESENT,0,solutionImage-present,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"함수 $y=f(x)$의 그래프는 무리함수 $y=2\sqrt{x}$의 그래프를 $x$축의 방향으로 $a$만큼, $y$축의 방향으로 $3$만큼 평행이동 한 것이다. 함수 $y=f(x)$의 그래프와 그 역함수 $y=f^{-1}(x)$의 그래프가 서로 접할 때, 상수 $a$의 값은? [3.8점]"
h1:original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_13,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_13,H15-SB-04,H15-SB-04-RATIONAL_BASIC,ABSENT,,ABSENT,ABSENT,TRIAGE_NO_GRAPH_SIGNAL,0,,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"유리함수 $f(x)=\dfrac{-2}{x+1}+1$에 대하여 $f^2=f\circ f$, $f^{n+1}=f^n\circ f$($n$은 $2$ 이상의 자연수)로 정의할 때, $f(2)+f^2(2)+f^3(2)+\cdots+f^{24}(2)$의 값은? [3.8점]"
h1:original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_16,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_16,H15-SB-03,H15-SB-03-FUNCTION_RELATION,ABSENT,,ABSENT,ABSENT,TRIAGE_NO_GRAPH_SIGNAL,0,,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"함수 $f(x)=x^2+4x+2$에 대하여 함수 $g(x)$가 모든 실수 $x$에 대하여 $g(2x-1)=-2f\left(-x+\dfrac12\right)+1$을 만족시킨다. 함수 $g(x)$는 $x=a$에서 최댓값 $b$를 가질 때, $a+b$의 값을 구하시오. [4.3점]"
h1:original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_17,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_17,H15-SB-03,H15-SB-03-FUNCTION_RELATION,ABSENT,,ABSENT,ABSENT,TRIAGE_NO_GRAPH_SIGNAL,0,,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"실수 전체의 집합에서 정의된 함수 $f(x)=\begin{cases}\dfrac{a-x}{x-1}&(x\gt3)\\-\sqrt{3-x}-2&(x\le3)\end{cases}$가 $x_1\ne x_2$이면 $f(x_1)\ne f(x_2)$를 만족한다고 한다. 실수 $a$가 $a\lt1$일 때, 가능한 $a$의 최솟값에 대하여 $af(5)$를 구하시오. [4.3점]"
h1:original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_18,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_18,H15-SB-03,H15-SB-03-FUNCTION_RELATION,ABSENT,,ABSENT,ABSENT,TRIAGE_NO_GRAPH_SIGNAL,0,,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,실수 전체의 집합에서 정의된 함수 $f(x)=\begin{cases}2x+3&(x\lt1)\\x^2-5x+9&(x\ge1)\end{cases}$에 대하여 $(f\circ f)(k)=f(k)$를 만족시키는 모든 실수 $k$의 값 중 가장 큰 값을 구하시오. [4.3점]
h1:original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_2,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_2,H15-SB-03,H15-SB-03-COMPOSITE_FUNCTION,ABSENT,,ABSENT,ABSENT,PRIORITY_2_GRAPH_SUBUNIT_CANDIDATE,5,graph-subunit,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"두 함수 $f,g$가 $f(x)=\dfrac12x^2-1$, $g(x)=3x+1$일 때, $(g\circ f)(-2)$를 구하시오. [3.3점]"
h1:original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_22,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_22,H15-SB-05,H15-SB-05-IRRATIONAL_BASIC,ABSENT,,ABSENT,PRESENT,SOLUTION_VISUAL_PRESENT,0,solutionImage-present,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"서술형 1번.<br>함수 $y=3\sqrt{x}$의 그래프 위의 점 $A$를 지나고 $x$축, $y$축에 각각 수직인 직선이 함수 $y=\sqrt{x}$의 그래프와 만나는 점을 각각 $B,C$라 하자. [총 10점]<br>1) 점 $A$의 좌표를 $(t,3\sqrt{t})$라 할 때 점 $B,C$를 $t$에 대해 좌표로 나타내시오. [3점]<br>2) $\overline{AB}:\overline{AC}=1:4$가 되는 직각삼각"
h1:original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_23,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_23,H15-SB-03,H15-SB-03-FUNCTION_RELATION,ABSENT,,ABSENT,ABSENT,TRIAGE_NO_GRAPH_SIGNAL,0,,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"서술형 2번.<br>두 집합 $X=\{1,2,3,4\}$, $Y=\{1,2,3,4,5,6,7\}$에 대하여 $X$에서 $Y$로의 함수 $f$가 다음 조건을 만족하는 개수를 구하여라. [총 10점]<br>(단, 문제(1),(2),(3),(4)는 개별문제로 서로 영향을 주지 않는다.)<br>(1) 일대일 함수의 개수 [2점]<br>(2) 임의의 $a,b\in X$에 대하여 $a\lt b$이면 $f(a)\lt f(b)$를 만족하는 "
h1:original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_3,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_3,H15-SB-04,H15-SB-04-RATIONAL_BASIC,ABSENT,,ABSENT,PRESENT,SOLUTION_VISUAL_PRESENT,0,solutionImage-present,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"다음 유리함수 $y=\dfrac{-4x+8}{2x-3}$의 그래프의 점근선을 $x=a$, $y=b$라고 할 때, $ab$의 값을 구하시오. [3.3점]"
h1:original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_4,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_4,H15-SB-05,H15-SB-05-IRRATIONAL_BASIC,ABSENT,,ABSENT,PRESENT,SOLUTION_VISUAL_PRESENT,0,solutionImage-present,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,다음 무리함수 $y=-\sqrt{4-2x}+4$의 정의역과 치역을 구하시오. [3.3점]
h1:original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_7,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_7,H15-SB-03,H15-SB-03-COMPOSITE_FUNCTION,PRESENT,,PRESENT,ABSENT,PRIORITY_1_GRAPH_GAP_CANDIDATE,10,explicit-graph|problem-image,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"다음 그림은 직선 $y=x$와 $x\ge0$에서 정의된 두 함수 $y=f(x)$, $y=g(x)$의 그래프를 나타낸 것이다. 두 함수 $f,g$의 역함수가 존재할 때, $(f\circ g^{-1})^{-1}(c)$를 구하시오. (단, 모든 점선은 $x$축 또는 $y$축에 평행하다.) [3.8점]"
h1:original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_8,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_8,H15-SB-03,H15-SB-03-FUNCTION_RELATION,ABSENT,,ABSENT,ABSENT,TRIAGE_NO_GRAPH_SIGNAL,0,,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"세 함수 $f,g,h$가 $f(x)=x+a$, $g(x)=-2x+3$, $(g\circ h)(x)=4x-1$, $(h\circ f)(x)=bx+4$를 만족시킬 때, 상수 $a,b$에 대하여 $ab$의 값을 구하시오. [3.8점]"
h1:original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_9,original/high/h1/2final/21_복성고_2학기_기말_고1_기출.js_9,H15-SB-03,H15-SB-03-FUNCTION_RELATION,ABSENT,,ABSENT,ABSENT,TRIAGE_NO_GRAPH_SIGNAL,0,,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"집합 $X=\{1,2,3,4\}$에 대하여 $X$에서 $X$로의 일대일대응, 항등함수, 상수함수를 각각 $f(x)$, $g(x)$, $h(x)$라 하자. 세 함수가 다음 조건을 만족시킬 때, $f(2)+g(2)+h(2)$의 값을 구하시오. [3.8점]<div class=""note-box"">(가) $f(3)=g(4)=h(1)$<br>(나) $f(1)\times g(1)\times h(1)=12$<br>(다) $f(1)+f(4)="
h1:original/high/h1/2final/21_순천고_2학기_기말_고1_기출.js_1,original/high/h1/2final/21_순천고_2학기_기말_고1_기출.js_1,H15-SB-04,H15-SB-04-RATIONAL_BASIC,ABSENT,,ABSENT,ABSENT,TRIAGE_NO_GRAPH_SIGNAL,0,,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,다음 중 유리식 계산이 틀린 것은? (3.9점)
h1:original/high/h1/2final/21_순천고_2학기_기말_고1_기출.js_10,original/high/h1/2final/21_순천고_2학기_기말_고1_기출.js_10,H15-SB-05,H15-SB-05-IRRATIONAL_GRAPH,PRESENT,,PRESENT,ABSENT,PRIORITY_1_GRAPH_GAP_CANDIDATE,10,explicit-graph|problem-image,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"무리함수 $y=\sqrt{ax+b}+c$의 그래프가 다음 그림과 같을 때, $a+b+c$의 값은? (단, $a,b,c$는 상수이다.) (4.1점)"
h1:original/high/h1/2final/21_순천고_2학기_기말_고1_기출.js_11,original/high/h1/2final/21_순천고_2학기_기말_고1_기출.js_11,H15-SB-05,H15-SB-05-IRRATIONAL_BASIC,ABSENT,,ABSENT,PRESENT,SOLUTION_VISUAL_PRESENT,0,solutionImage-present,UNADJUDICATED,PENDING_INDEPENDENT_TRIAGE,NO,"함수 $y=\sqrt{x-3}+3$의 그래프와 그 역함수의 그래프가 서로 다른 두 점에서 만날 때, 이 두 점 사이는? (4.5점)"
